@rowCount	1660
w	d	t	q
seljanta	se+janta:  billed for:   x1 = janta2 (billed for), x2 = janta1 (account), x3 = janta3 (billed), x4 = janta4 (present bill)	jbo	NSONLPQMOMQGQNQNKRNRSPKPTPOOPLRPRNNLONPPOLQMNPNQQTOOJSQOKNMOOPPOPNMOKQMOONNPTORMMOMOOPMNNOQQULQPOPURQWNPMNNOKLRMQMPRPPTMPONNLNPOLOQMMONSJPMOQOKOPNNQPOSPROPMOORPOOPRQOPPMQPNJOSRURLMMMMMLPLNNLNQNQOLPNMMPQOLOMPQJQQROPSMOMOMQMPOMSKNPMUMNQONNNTPRNMPOUNPSQRLNNLLNPLKOOROPQSUSLMSMOLNKNMSPNPMKMTQPLOLMMONLKKMIQORNRSQLLRUOPLPOROOMLMPPPMNNPPPNINQOPKLNPLQNPNSULPQQJLKPPQPOMMPQNKKMIQNOPPNOQQRQPPL
terjanta	te+janta:  billed:   x1 = janta3 (billed), x2 = janta2 (billed for), x3 = janta1 (account), x4 = janta4 (present bill)	jbo	MUMOLPROPNQGQPPMJQNRSQKOTPNOPMQROMMMMPOONLRMPPLRPRPNKUROMNMPOPPOQPMPLQNPOMOPVOQNLNLNOPMOPOQSTLPONOSQQUNQMOONJMRMQMNRMNSMPONOLNQOLPONOOOPMPMPOOJNOONQORRORPOMNPRONOPRPNSPORQOJNRRTRMMKLLMMPNLNLNQNPNKRNMLSPQMSNOPJQQTOQRLPONNPNQOOTMMOMRLOPPNLNTOSNNONTLPQQQLPNLJORMKSORORPRSQMPQNOOOKNLSRMQMLLVONLMLNMOOMILMHPPPLRSPLLRRPOMQPQNOMKMOONMONPQQOINRNMKMNPKOMPNSULPRQKNLQOPPPNLQRMLKMJOOOPONOPPRQQQL
veljanta	ve+janta:  present bill:   x1 = janta4 (present bill), x2 = janta2 (billed for), x3 = janta3 (billed), x4 = janta1 (account)	jbo	MTMMLQPNOOPHQOOOJRORSOLOVQPOPLQQPLMLMQOOOLRLPRMSRRPNKSQNLNMOPPPOQPMQKQOPNLMPUQQMLOMNPPMMONPSTLQOOOSRRTOPNPONJLQMPNNQOPQKOPONLMPOKNPNOPORKPMOPOJOPOOQPPSPROQMNOROOOOSQNROPPOMJPRSTSNMINMLLQMKNLMQNPNLQNNMPQPMRNOQJRPTORRLONOMQPQOMTMMQMTLNPNMMOUORONOMUOOPPRLNMNLNRMJQNROQPRSQMOPONMMLNMSQNSNKLUPPMNNMNPOMLMOIONOMRSPKKRQOQMRPQOOMLMOPNLOLOQPNINQMOLLOQLPMOPTVKPSSJMKPPRPOOMPPNJJMINOQQNNMQPRPQPM
seljarbu	se+jarbu:  city of suburb:   x1 = jarbu2 (city of suburb), x2 = jarbu1 (suburb)	jbo	UOPMMPOQKLTHSNRNNROJRNQMRQPQONRRNMQNOQONNLNNIKOQRROOLOTPNSPLNPQQSJNQMNMNNONPNQRPMPKPLOOMQQPPUMOOMOPRLQQQOJJMOOPKPOQQWQPKPJMNONMOQKQSMKLSJPMMQNPNPNLQOPOPMPSNTPNNMQQORNNNJMOQULLPRPPQORPRLQNSMQMPQQONQQOOSTQNLPKNNNMNQMNKNLNONNLONNOMMNSLMRGOPLQSUMLSOOOONNQQLOMNNNLMOLMONOMSRNLTNLORNONQNTOSQLRSQKOOJKQNOLQOORMRNSOOOOPUOMLQNOPONNMPPUKPMQNRKPONQPLPNOMSOMMMSONQNNMMPSPSPKNPPPRMOMNPNLMKLPQQNOQO
selja'o	se+jarco:  shown:   x1 = jarco2 (shown), x2 = jarco1 (show), x3 = jarco3 (shown to)	jbo	PNMNOPPOOMSISOOONTNMTMNORROPNLNOQNRLNOQMLMPMJMNOSQMPHOROJRNOPOQSQLOPLQKNPJNRPNPONQKRMMPMPQQQUMOQSQRQORSOMMLOPOPNMOMRVNSLSJNOOOMONKSPMQMOHQKPPPLNQOLPNONONQQNQOSNNOOPRNRMMNOQPKNSPQMPQNQQKSLSLRNSPSMNPRLORSQMMMNNONQNMNMNNNOOQNLOPOQLNNRLMSNNMLNQRNKQNRMOMOTQLROKPOMNPNOQMOPSRMMSQMKOLLOPLRNQONQPWLLNJLSMMJRMLRNQSQQPOPPWOMLPPRSOONOMNTNOLNNQLNRONQMNMMMRNNOOSPNNPMNMMRORNMMPSPPNMLNNOKMMPTQTMPRP
terja'o	te+jarco:  shown to:   x1 = jarco3 (shown to), x2 = jarco2 (shown), x3 = jarco1 (show)	jbo	OPJNPPRPONTIRPOMKTNMSMNNSQPPOMMPMMOLLPPLMNQLLNNPTOOPIPTOMPPPQOPRSMOPMQKPRIQSSMOQMOKQLLOOSRQSSMNORPQPOPSPNNLNPPPLNQMRRNRKTKMPNOOOLNQQOPMNKQJQOPLLPPLQMRLMOQPMQOQNMPQPROUMNNPQPHMRPRMPPNPRMTMRLQNTORKMSQLOSRROQMMLNOROMNLMOPNPOOLOQRSJMNQJOQNNKMNNRNLNNPLMJOSQNQNIQQNMSNPQPOPQPPPQQMNPLMNQNPPQOKSMTMLNLMTPNHQLJONMQPQPNPQUPMMSQPTOOMNLNSOOMLOQNNSQMNLOLLMQLOOOSONMOOONMQORMOLQTQONLMMQNKLLNRPTLPRO
seljarki	se+jarki:  narrow dimension:   x1 = jarki2 (narrow dimension), x2 = jarki1 (narrow), x3 = jarki3 (narrowness standard)	jbo	POPONMOPNMSINOOPMTKNSOOPQORRPMNRQPQOMQQONNSPLMLNQOMQJPRJIQPNQMQPQMNOLRKQLMMPPMPQMRKQMONOPQQOSNOOQOTRPSRQNOMOQKQINOPRRQWLPNMNOQLONQPQLONNJRKPOMPQPRMOQONOOKRMPNPNOPSPOPRLMPPQOMNRRPOPSNPNNRNTMMNPRPMKQRNOPROKNMMNKOOMILPOPMKPPOLONONNNOSONQNNOLPSQNJPOSMSPOQOISMJMRMJQLNPMQOTQOOSPKJQQMNTKQOPOISPTLLLJOQNNMOLOQMQRQSSPRTUNNMOQPPOMMMOMQNQNRMQLPPLNSMLMMNPNNOOTNPOQNMOLQPQMMNPRNSMONSMOLMNMTPNPQPN
terjarki	te+jarki:  narrowness standard:   x1 = jarki3 (narrowness standard), x2 = jarki2 (narrow dimension), x3 = jarki1 (narrow)	jbo	OROOOLQQNNTINQOMKSLPTOOOROTRQNMRNONPLSPNOOTPNNLOPLPQKQSKLQPORNQOSMMNLRJQNLNPRMORLQJPNONPSRRQPNNMQNSQQQQQPOMNPMRHNNNQNRVLPNLNOQMOMSNRNONLLSKPMLOPORLQPRMNNLRKOOOMOPTPOPUKNPRRPLNRRONPQOOOPRORNMOQPPLKQQNOQQQMPMNLJQONHMNORNJPOOLOORPMMNPNPPPNNMPRRMJMOQLRMOOPLRLHNSNJSLOPOQNSNPRQPKMQQNMTKPOQPGUORMLMLOPOOKOLNONOQQRRPSTTONNQRNPOMLMMMOOPOONQMOQOMQMMLKNNLPMOTOOPPPNPMQPRNNNQSPTMNNRPNKMNLSONORPN
seljaspu	se+jaspu:  has passport:   x1 = jaspu2 (has passport), x2 = jaspu1 (passport), x3 = jaspu3 (issue passport), x4 = jaspu4 (authorized by passport)	jbo	OPMNMNRONKSJSPPOLQNLPMMMPPNPQNRQMPTKQOPMLLOMRPNPQSMOMUPNKQMPLQSPONMKMQMPLMMPOOONNQONOOMKMSRNUMOPPPRRKQOPMNNLPORMMOOQQSPMOMOMNNOOQRPQJNMQGQLOQNNQPNPQTLOQSRPOPQPNLPRPSNMNKOPPQKRPUQJNPKRLMTPPMMHOTNNMPLMONSOMPPNNKOLQNQPPNMNRSOKOLMKOPMUMMONKROOROOLTNRRPPQQMKSNMLQLJMONQNQOUONMUOOOOMMPMPNOQRMTSTMPPLMOIOLRKIQQQNPOPPNORROOSPOOOQLNOOPLMNMOQLKQNPSNMONNORPNKTMLPPKLLOPNPPPMNNQQLNMNJQRNPRPTNPSNN
terjaspu	te+jaspu:  issue passport:   x1 = jaspu3 (issue passport), x2 = jaspu2 (has passport), x3 = jaspu1 (passport), x4 = jaspu4 (authorized by passport)	jbo	ORLNNMRPNMSJTQPOKPOLPNNLPONOQORRJOTLPOQLMMOLSQNQRRMOMUPNLQNOLPTPONLKLQNQLLNQPONONPNNPMMKOSROUNMNQOQQJOOQMOOKPPQMMONQPROMPMNMONQOQRORKONPHQKOOMMPOOPTSNOPSSONPQPMKPRPSMMNKOQPRJRPTQIOOKRLNUPNMMGOSMOMQMNOPSPMSPOLKOMRNQPQONNRRNKONOLNPMTLMNNKQOOQOOMSORQPOQPMLRMMLRMIOPOQPPOSOOOTPOQPMMOMRMQRRLUQSMPQMMOJPKSLHPRQMOOOONPQQNPTQOOOPKNONOLMNLOQMLQOOQMLPMMMQQNLSMKPPLLMPPNPOQLNNRRMNMMKQQNPROSMOTNN
veljaspu	ve+jaspu:  authorized by passport:   x1 = jaspu4 (authorized by passport), x2 = jaspu2 (has passport), x3 = jaspu3 (issue passport), x4 = jaspu1 (passport)	jbo	OPLMNNRPNLSLTQOPLPOLQMNLRPOPQNRQKORKPPPKMMPMRRMRSRNNMUPOKPMOLQSPOMMLMQNPKLMPPPOMNQOOPNNKOSRNTNNNQPQRKPOPNOOLOOPNMONRPROKOMOLOMOOPQORJOMPHQKPPMNQQOQSTMOQSRPNPQQMLPQQRMMMLNPOQKQPURJNNKQKNUONMNHOTNMLQMNOOTOLRPONKPLRMQPPNMNRSPKOLOMOPMTLMMNJRPPQOOLSNRTOPPRNJQNMLQMJMPNQOQNTNNORQNQONNPMQNQRQLTRRMPRLOPIOLSKIPQPNPOPONOQRPPTPOOOPKNOPOKMNLOPMKQOPRMMONNNPPNLTMLQQKLLOPOPPQMOMQRLMLMJRQMPQOTMOSNN
selja'a	se+jatna:  captained:   x1 = jatna2 (captained), x2 = jatna1 (captain)	jbo	LPNOOPRRPNPJSQOPLOPMOOMMQNOMOJNOQPKMOOOOOONPPOONPUMNLQWPKOOQQQPORHOOKQOONMLQONPNJLLPOPLNNTPQWOORPSPROTMOLMQLNLOMMNJSQTQLRNRONPOOONORNONQJLMNNMMNPLMOQRPMQNPMOQNNKRNOQMMLKMMNLLPPRSMNQKOQQSNRMKPRTSNJQMNMRRQLMPMPIPONNPROORNORMNOKRMLPLSKKOPQMNMPTPKOSOOQRQURMQLOPNLOORMRMOOTOMORNNOPMNOPNORQQMQRPLOOMNONNNMKJRPOLNNPPKSVQNPSPOQOLJNSOPLNQQOPQMRPNSLMMOJROPLNTOOPPLMNPMQPLONQPONNKJSNQNPQPTQQPQQN
seljva	se+javni:  prescribed by rule:   x1 = javni2 (prescribed by rule), x2 = javni1 (rule), x3 = javni3 (has rule)	jbo	NPNMNLRNONRLTPPQKSLMRMNOSQPOSNPOQNMLMNNROMNORPLPSRLNJRUNKSNNPMPNQLMNLSLPMNLTROPNLNPOOOLLSWPRTLQPRQSRNSMPLONNOMNLOLOTTSTMOOPOOPMOMONOIMMQGQKMOLOPQJNRUMNPPNQNQOQLLOPQQQPNLMOOOMNPSOMQTLPONTMTOOMQQRLLPLOONRPKLOOJHPPRNPPONLNORMOOMQLNMNOJPONLNOOQMOJOPRNPNNSOMRIKPOOMNMNPNQRVOPNTONNNNPPQOPQPOMQPSOOQPLQNLNOKNTPOQPPPOOQROOOUOOOONJLOQQOLNNMSNKQNQTLNOLKQSNLNTQPPRKNMOPPPNMONPPPJNMQMQNMNOQSNOTRM
terjva	te+javni:  has rule:   x1 = javni3 (has rule), x2 = javni2 (prescribed by rule), x3 = javni1 (rule)	jbo	LRMMOLQOOPRLTRPOISKMRMNMRQOOSNOPNNLMMPNQONNOSQKQRQMMKSUOLSNOQLPNQMMNKSLPNNNSTOQOLLOOOOMMTWORSLONRQPQNPNPMOONPNNLPLNSQRTLPPOPOONOKQLPLMLQIPKLMLNOQKMSTONOPNPNPOQKKPPQQPSNKMOPOLNOSOMQSLOPOTNSNPMRPQKKRLPOPQQLOOOJGOQSNQPONMLOQNPOMRNNMNMIRMPLLOOPMNKNPPMQMNROMRIIPPPMPLOQOPRTMRPSONQNNOOQPPQQPMPNRPNRQKQQLNPKMRQMOPPOPQQPPNPVPMNONJLOQOPMNMMUOKPOPSMOOLKPQMLNSPPRPMOMOPOPNOOOPPPJNMQNQOLMOQRNOTSM
seljbama	se+jbama:  bomb explosive:   x1 = jbama2 (bomb explosive), x2 = jbama1 (bomb)	jbo	OQLOMOTQNMQKTNRRLPLLQOONSSOSOKRMOOQLLNSPLNLPLPMOPRNMJRVLKPPOLPROVKOPLRNQQMKOQOPPLLMNNOLPRSPRVPQOQMPQNTNMNKLPONQLPMMRQRQKRLNQMOKOOPORJNLPIQINOPMNPOLQOOPOOTPLNPPPIPRPOOMLKMNPQINPSOLOQMPOQQOUPOLPRPMNPPNPTPNKMPONMMOMNNONMPNMQKLOMQLQOOTLKSOONNROQQMPPPMPQPQPOQMONNNMQMOMMRPVOONRONNQILOQLNOQNMURQMOOMNRQNJNLKSNPPPNQPPRUMLNQSSOOMMNNSSKNOMOQPNPOMQMNNMMRQPLOTONOOMJOSOPQLMMQPRNKJLQMONPRPOSRPPQM
seljba	se+jbari:  berry species:   x1 = jbari2 (berry species), x2 = jbari1 (berry)	jbo	MMNOOQOOMNUKRNPQPOKNQQPNPOOPRLPPSMOMNMQONOOQMNPPORNOJMSMKQOOQOQORLNPQMONKOLQQNPOHMNNLPLQORROTPLRSPQPOSORNLNPLNQLNONPUTQLQQQOLNKONNOPLNLQMOHNPMKNNNQRPQPQMOSNPOQLLQQOPPOMLRNQPMPPROIQTSNORVMPNPMORRLNOOPQSPRKLMNNKNNNKNOMNNOQPNOOKPQPPMQJLNOPOMOTSQLOKRMMPRSPNROOOOLPPLMNPRNUQONUPPNPMOQNQSNPNKORRMPSMMSOPJQMNONOOPSQRLOSOPMNMPSOOJNMQQIOPSORMQPMNRMMMNMNNMKLTKQPRJKOPPRQJLKPRQPRKMOMQLKOMQTONMQJ
seljbe	se+jbena:  bear young:   x1 = jbena2 (bear young), x2 = jbena1 (born), x3 = jbena3 (birthday), x4 = jbena4 (birthplace)	jbo	OSPNMSROMOQINMOQMSNILIRORPOPRORPQNLONOOROPNPNNLQPTJMKPRNKMRQNOSNRMPOLQOSNLJPNRQNILNOLRKLLRNRVQPQSPRQNRQSNNKPLLOLPRPQRQRNQRONLNNOROQSLNKQIOHLPJOQOLOSROPOOOSLPOOMMPOLSMNPLLNPNMRNTSKPPMLRNSLRPONPQNPOQNOMROQMNOKPNPMNNMRMOPMORMNOLOQMQKROORPOQKOQPSLNPOKPRPTPMPMMONMMLOPMNQOVQQLVOOMQLNQOOOQSQLSPOJONMNTNKLONKSMNNSPQPMRUQMOQMNPONNKMNQLNNPPQONRMMQONQNPRMLPNROMRQKNNMOOOPMNOPLPMOKNMONPNMQUOPNPK
terjbe	te+jbena:  birthday:   x1 = jbena3 (birthday), x2 = jbena2 (bear young), x3 = jbena1 (born), x4 = jbena4 (birthplace)	jbo	NUONMSROMPRHNMOQKSOILIRNRROPRORRNMLPMPOQOOOPONLRPRKKLQSOLMQPNOTMRNOOLQPTOMLOORPOIKMOMRKMNRNSUQNPROQPNQPTOOKOKMNKPQNRPPRNRROOLNOOQQPTNMLOLOGKPIOQNNOTRROMPQSLOOPMLPPMQNORLMORNLRNTRLPNMLRNTMQPNMQPMOMSOOLTMRNQOKONQNONLRNPRMPQLNOMQRMPKONPPPOPLOPQRLMNOIOPPSOOOMKNPNNNNPNNPNVORMUPOOPLMQPPNRTQKTNMJNONNSPKKONJSNLMSQQPNRSQLPSONPOOMJLMOLPOQQRPNROLPNNQNPPLMOOQNMRQLPNNNOOQMMPQLQMNLMNOMONNQTOPPQL
veljbe	ve+jbena:  birthplace:   x1 = jbena4 (birthplace), x2 = jbena2 (bear young), x3 = jbena3 (birthday), x4 = jbena1 (born)	jbo	OTNMNSQOLPRINMNRKTOIMHRNTRPPSNRPPNKPMQOQPOOOOPLRQQKKKQPNKMRPONSMSMNPKRQSNLKPPRQNJKMPMRKMNRNRTQOQTOQPOQQSOPKOKLNLQRNRRQQMRRONLMNOQOPTNOLPKPGKPJOQPNOSRPPNOQULOOPMLPONRNOPLLNPONQOSTLPNNLQNUMPOOLQPMONSOOMQPRNPOKPNSMPNMQMNPMOROMOLPQNQJPNOPOMQLPQPQMNNPLPQPSQMONLOONMNOPNOPMVNRMSRNNOKMQOOORSOKSOOLOPLNTPLLOOKRNLMPQQOMSSQNPTOOQONLJLNNLQMOPQNMROMQOLQOPRMLPNTONRRLNNMOQOPNLPPLPLMKMLQMONNQUNNOPM
seljbera	se+jbera:  borrowed:   x1 = jbera2 (borrowed), x2 = jbera1 (borrow), x3 = jbera3 (lender), x4 = jbera4 (term [time of a loan])	jbo	PPPMMPOOPNRKNMOQJROMSNMLUQQPQOOPSNONMNOQNNPMMNONOULPLPSOKNOMPQPNTNPPLPMPNIMPQRQNMOKNLOMPRRQPTLNOQOURNUNNLNMPONOOPOPQONTPRPOPNQJOOOQOKNMSIRMNOHNONNPRSMSQQJQMROPOLMSOSPONKMQNPKNNRUJKQNKPMSKPMNNPNRONPRKMPRPIPRONMPPQPNSLOLKPPLQOOPMNRMNOOQONQNQQSMLQROQLQOQQJPLNPPKLPLNORPRRPPLRRPLOKOOPQMNRLNRPSJQKOLRPMOONJQNMOQSRNOTUNLOQSPOONMLOROLMONSRMMNNLOKONNMSOMOQTNORRKIMRQNPMLINQPMNOJNPPNONQQRMPONM
terjbera	te+jbera:  lender:   x1 = jbera3 (lender), x2 = jbera2 (borrowed), x3 = jbera1 (borrow), x4 = jbera4 (term [time of a loan])	jbo	NQOMMPPPQOSKNNNOIROMSOMKTPPPQPNQPMNOKNOQNNPLNNNPOSMOLQTNLNNNRQQNUOOPLPMPOINORQQOMMJMLOMQTRQPSMLMPNTQNSNOLNMPNNONQOOQMMTOSPNQNQLOOQPQMOMQKRLNMHNONOPSRPRQQLPLQOQNLMSNROQOKMQOPJNNQTJLPNJPNTKOLMNQMPNMQRLLSRRISRONLPPSPOSKPMKQOMQOPQNNQMMOONQNPNQOSLLOQNPMOOQQKOLMQQKMRLOPTORQMQNPRPOOKONQSLOSNNTOQJPKPLRQNNOMJPOKMRRRNOUUOKPSSONONLKMQNMMOMTRNMOOLNKONNLPNNNQSNNSQLIORPNQMMIOQOLNOKMQPNOMQQQLQPOM
veljbera	ve+jbera:  term [time of a loan]:   x1 = jbera4 (term [time of a loan]), x2 = jbera2 (borrowed), x3 = jbera3 (lender), x4 = jbera1 (borrow)	jbo	OQOKNPNQPPRKONNPISPNSNMLVRRPPOOOQMMNKPMPNNPLOONPPSMNLPRNLNNNQPQMUNOQLQNPNIMPRRROMMLMMNMPRRQOQMMNROTROSPNLONPNMNOQOOPOMSNRPOPNOLOMNPPLONTJRLMNHNPONPRSNRRQKSLQNQNLNQOSOQNMLPNPLNNPUKLONKOMUJNLMOPNPMNPRLLQSRIRQNOLRPSPOSKOMLPPOQOORNNRMNNOOOLPOQPQLLPPOSLOORRIONNQQKLQLOPTPQPNQOOSONNKOPQRNOSLNSORLQMOLSRNPONJONJNQRQLNTTNMOUSOPONLJMQMMMNLTQMMOOLOKNNNLROMOQUNOSSLINSQPPMMHNPOMMNJNPRNNMPQPMOPNM
selbi'i	se+jbini:  have in between:   x1 = jbini2 (have in between), x2 = jbini1 (between), x3 = jbini3 (betweenness property)	jbo	NONKNPQPLKQMSMRPPQKLSPLNOPRQPQOLNNOOMPONNPPMNRLNQQKONNQOPPNKQOQMQLNQNQLRKMMQPPQNKOOSNMKOOSOSQPPORQUQMSPOPNMLNNTKRNPRSTUMQMNRQMOONJQSJOKNJRNOQKQMQJOPPIOQOOOMPOPOJPQQQOPLLMOOSKOQQRNPTLNMOUMTMQPQTRLJOQMMOONKJNQJNQNOOOQPNNMPPOQOOPSNPMSLOSONQOOTOMOOSMPOLOPQHMMMPKMKOLPONQSSNTKRMOLRLMMPLQOOONRTVPPMNMRLPLPLONQQNQRROQORNMNRQKRONJMOQQLOOOQQNNPNOLNNOOMSQNMLTNPOSMLPOSOLONKOQOQNNMLNRMJKNPRQMNOM
terbi'i	te+jbini:  betweenness property:   x1 = jbini3 (betweenness property), x2 = jbini2 (have in between), x3 = jbini1 (between)	jbo	NPMKNPRPLLQLTOQOOPKMROLLOQRPQRNMLLOOLQOOOPQLPRKNQPMOONROQONLQPRNRMOPOPMSMMOPROROJMNROMKOPTNSQQOMRPSQLQPPPNNKNNSKRONRQTTLPMNRQMOOMKQTLOLMKSMPNKPMPKOQPKOPONONPOPOKQQPPOQKNMPNSJOQQQOPRMMNPUNSLQPSSRLHPQNLQNOLLNQIMQOPNOPONPMPOOQOPRUNOMRLPRPMOOOSPMOMSMNNJONRJMMMPLMJQLQPOPSSNTMQNNORLNMRLPQOPMSTTOONPLRNRKQLONRONPRQNQPPOLNSQIQOMHLNQPKOPNSQNOQNMKNNONNQPNMLTOOOSOMQOROMOOJPROQNNNKPRLIKMPQQMOOM
seljdari	se+jdari:  meet firmness:   x1 = jdari2 (meet firmness), x2 = jdari1 (firm), x3 = jdari3 (firmness conditions)	jbo	MNNOLNSOMLRLPMQNLRMMQNMNSQPRRLPPROONLNNSMNOLLLOOQQKOLOUPKOLMPOROTMNPKRLMKLLRUNTMLOLPLNNORSQPPMQSONTROTOPJLMOPNPMNMKSRSSJPONMMPJOMOONJPLSKQJNPKNPPMMPPNNQPMQNPPQNKORQNPPPKPQPQLORURJMTMQRMSKQMNOMQTMMQPOORSPKOPQMKQOOMNQNOQMPPOOOMPNLNLSMORMMOKNPOPLRRROSROPNKQOKMQMMOLMNPQSVSOOQPNMPLPMPLPKQPMTRRNPPNLQLONQMJONOQRPRNQQVNNNRQPOOPIONPPMLOONSMNNONRKLONLRROOOSQQPQLKOPQPOMNLPSONOMJOMOOLLMRQNNNRN
terjdari	te+jdari:  firmness conditions:   x1 = jdari3 (firmness conditions), x2 = jdari2 (meet firmness), x3 = jdari1 (firm)	jbo	LPMNMNTPMMRLPNQMKQNNQMNMRRPRRLOQNNNNKOMRMOOKNLNPPNLMMPUOMPLNRPRNTNMOMQLOLLNRWNSNKMKNLMNOTSQRNNPRONRQPROQJMMOOOOLONIRNRSJPPLNMPKOMQNOKPLRNPIOMJNPNNMQOQMPPNQMNQQLJPRQMQQPLPRRRKNRTPKNRNPROTLPLNPMPSLMSPOOVSRLQORMJQPQLOPOPSMQOPPONROKMMPLPQOLNKMOOPMQQRNSPOOOMQPIMRNMQMNPRORTQPRPQNQQLQLPNPMSQMVPONNQPKQNPMRMINOMOSOPNRQSNMOTQOOOPHNNPONMONOSNNOOLPKLOOLOPPOOSRPQOLMPQPOONOKQSONPMJNNOOKLLQOMOORN
seljdi	se+jdice:  decision:   x1 = jdice2 (decision), x2 = jdice1 (decide), x3 = jdice3 (matter decided)	jbo	OOMMMMROOPPLQMQPLQMMRMMMRRPQQLPQRMKMLMNRNNNNLMLMPQMOLNSOMPKKMNOOQOOMNQMRNKNPROTNLPJPPMMPRSOOTMOSPOSPNRNPNMJNQKNKQOMVTTRKPONMOOMOLKONKPNQKQKOQMPONPKNSONOOPPOPOQNMQSRNRONKNPRPLMQUSOMWNQQMUMQMONQQUMLROPPQPQLONNKJQMNQOONMMLSQLQOKPOONMPKOPKPOLQRMNKRQSJRQOSNPPMKKQQLSLMQLPOWRQNTQNLPKRNPMPNSONTPSONPNNPNMKTMKSOQRQQQNQPTMLMRRPLOQKNOQRIOMONRNNPMNPKLOMLSRMOPRQQQQPPLRRQNONLQPQOLMKMLNOPNNPPOPOQO
terjdi	te+jdice:  matter decided:   x1 = jdice3 (matter decided), x2 = jdice2 (decision), x3 = jdice1 (decide)	jbo	OQLOMLTONQRLPOQOJPNNQNLMRROQSMPSOMINLNNQMOONNNMOPOOOMOTOQPLKNOONROONNSMSOLOPTNSPLOJOPLMRSSPRRMNPPORONRORNNJNPMOIRPMUPSQKPPMNOOOOKMNPLPOPMQKPOMPNMOJORRNMNQPNOOOMLRSQNRQMNORRPKMPTSOMUOOROUNPMOPQORLLTPOPSORLRLNKJQOMONNNNNLRQLPOLRPOMMNIPNLONLQONMKPPQKPOOSMSPNILRQKULOPNOPWPRORQMOPLPMQNOQSOKUNQOMQOMQQMISNLQOOQQPPNPPRMKNTSNLOQIMNQPJOMNOROOQOMNJMNLJPOOOORQPQOQPMSPQMMOLRQQOMMLLNNMNNMPPOOPSN
seljdika	se+jdika:  property decreased:   x1 = jdika2 (property decreased), x2 = jdika1 (decrease), x3 = jdika3 (decrease amount)	jbo	PROPKNQQONRLRMPRMTJMQLMNSRNQRLOQSONKMOORNONLLONNOPOPKNRONPLLQPPNRNONMSPPOKLNTPTNLNJOLNOMOTRRRNMQOLSQNUNNKLNPNRPMMNLSTRPLRONNNPKOMJONLOKQLQMPMMPLPNNMOMNPPQOPLOROJPROQSONLNPOPLSQQQLOSOPOOSLPKPPOSUPLNPOPSPPJNMOMIQPNPMQPNMOOPMPOJPLONMSOMQNNKMOQPOMPPUPROMPPNNMMMPMKPLLONRRTSPNQQOPMMTOROONSMLPSSORPOKQNPLQJKSQOOPPPMNLTMTKSQOMONJPQSQMPNMNSNOPLOPMKPNMQTMPRROPPTOMNRQPPLJKOQQOMNIPMNOLMPSPPONMM
terjdika	te+jdika:  decrease amount:   x1 = jdika3 (decrease amount), x2 = jdika2 (property decreased), x3 = jdika1 (decrease)	jbo	OUNOKNQROORMROPQMVLNPLLNSQNQSMORPOLKLPOQNPOKMPMPNNPPLOSNPOKNQPPNRPOONRNQQKMNVPTPLNIMLMOMRTSTQMKNOKQQNSMNKLNPORQLNNLSRRQLRPLNNQLOLLNNNPLPNPMPKMPKPOMMMOMOPQOOLORNHPSNPSRMMNQQPKSQQPNOQOPQQSNPKOPOSTOKOPOPUOPKRLOLIRRNPMQPOMMOOMQOLRNNNNQMOPONJNOPQOMNOTMRNLQPPNMLNQMKRLNOQPQSQQOOQOQNMTNQQMPSMKQRQOQQPKRQQKRJJQQMOOPOLOLSNSLTTMMOOIPPRQMQOLPTOPQNNNMKPNLORMPRROOQQPNOQPOQKKJOQPOLNJOONOJMOQNOOPOL
seldi'a	se+jdima:  priced at:   x1 = jdima2 (priced at), x2 = jdima1 (price), x3 = jdima3 (purchaser), x4 = jdima4 (set price)	jbo	PPLNLPRQNMQJSLPPMRNMNMNOSPPPPONOQOPMNONSMNKLJNOQRRMQKMQPLNMOLMPOQMNNLONQQJLRWNRPLNKMOMROSSPOQLQRONVNPRPOJLMPMLNKNMMSQNSJNMPNMMKOKLOJJQNSJRLOMOPNPMQNOOPPNPPNQPQOMPPPPQQPMPQPPMNRSQIMRMNMMPLQKONONSOKORQPTRPLPRRPJRPQONOOONNQNLQONSOOMNPMORKOLKOPPNMPNUMSQNSOLPMKOPMMRNMPOQRUUOMRSOKONOLPNRMOQNSSSNQLKMOKPLPMIRQQRRQPMOQTLNLQSOKOQLPQPPMQNQPQNONMPQMLPQMQRPOQTPOOTOOLOSONMKKOSRKNMMNOONNKNPQNNLMN
