@rowCount	3257
w	d	cache	s	q
.e'o ko ti zutse	Please have a seat here.	.e'o,ko,ti,zutse,e'o,please,'ave,a,seat,'ere	👍👍	MMQNMONPRRMJQMLPPPOQNROPLKQTMLNNVOQNQKTNOLOQRQNMSQLOONQONONOONNPMLNNMSMRPMLLOMTRMONPMOOSIKMPOQNPPQNVPRNPPPNRNMMNMTPQOMTKNOPQPHKOMNORQQNPMMOKRKPQPPLNOQORNRPMQPNPJPNNLPMMNRKTPNSOPTKPPMJNPNOMNTOKNQPLQOPOPNNOOLNNOLPPRMOLMMMMRMLOQPMPQNQJKONSVLTSROMQMTRPPRSPJPKOMQQOSRLRSMRUTOPOPQOONRPOJMOOQPMRPOMMMQNNMQTSSONPRPSNSNOQNLMQPJPOOOPSPNNOPOPROPNTJOLPKOSOQPNQOONQLMMNMOPLKQOQQOLPONOIRPMROPLROSNN
.e'o do mi xrudu'a be lo kargu se ponse be mi	Could you give me back my valuables?	.e'o,do,mi,xrudu'a,be,lo,kargu,se,ponse,e'o,xruti,dunda,could,you,give,me,back,my,valuables	G−N	KRNOMOTPNLPOQKMQPSFSJNLPQTMOMKPMOPRSNQPONOONNQQPQNSQLSOSRQNPOPNOOONNNPRQOPORQKKOKKLONONQPOOMQNKMOPPQSORNPPNQNOMQOQQNLONKQQOQJLMOKQOPNOOOOLMTRNMQQLTMQNPNOONNSNPRQMNSQPOMOPMRLMRPKNLNIMLKNQNMRQPPNNOQOQNPOOROQNRLOOMRTOOJRNKLPIJORPOQQPPRLSLMQLPNONNJKTOPLRQMPPQKNRNMQLNPMNQQNKNOUOSPNQMPSMTMLOOQRMQKKLROQNSQMPOLRMSOTMSQOKPPSPPOOTOROLLRNNNNMMMNOIPOPRQOOQPQPPQOPPPJLNLOPKLSQMPNNMLMRPMPPPONQKHM
.e'o ko ve pagre fi mi lo silna	Please pass me the salt.	.e'o,ko,ve,pagre,fi,mi,lo,silna,e'o,le,please,pass,me,t'e,salt	G−	LOQLOOROPMMIQOMPNTGORQMMLQSONMMPQOMPNPOSPMORPPNMSNLPPPOQLPQOKMPOPMNMOPOUPMMNNKORLNOLMPPOLMLMKONPLLIUPQNMSQPRNRNRKPRORNRKPMLTMMLOOPQSKPQOMJOPNPQPQNQMLSQNIMQMTONMKSKROQNMNPKSPMQOOQPPLPMRRNOPRPMTQQOOPLMKMROQPNQNPLOQRPQONMKPQHMOPQMSQLSPOSLNSKUNSSLOJWOROPTNONROOONMPNMQMLPPMPROPPQONQMONPPNMONMQLONKMQNLNTOOSQJPNOSROTNLLNMPPROQTQOMQKNORQRRONQKNMOMONPQOQUQPQMOKNOOOOOKQORKONPLNOQRRNPMOLQOOON
.e'o ko vitke fi lo mi jbedetnunsla	Please attend my birthday party.	.e'o,ko,vitke,fi,lo,mi,jbedetnunsla,e'o,jbena,detri,nu,salci,please,attend,my,birt'day,party	👍👍	NPPPMPQKMQMKNMPQQPKOHKMQPQNQOOQQOORNNJNROMPQQPLQRQPRPOOMNJPMNNQOKLRRPLLQSRPLMNQPLMOPNOPTKNKQKNMPNKMTPUNQQOOSPMONRQTOPQRJQQOQKLPOQKMRRPOJLNOKQONRORNLMQKROSONSORNNRMMLMLLOMLROPVOTMMPMONNNKQKOQLNNNNMRPROPMNSQLOPNONMTQNNPOLLTONOSQMPQKOPROOSTOSMRWMPLTLRPORKONLOJNQPORMMOOMRNRMQOOJOPORQOOPPLOMRQPNQQQNQLSQMUSPQQSOONJTPMMOOOLOOQQNNQMJNPPSNPNNMKQMNONSPPNPSNMKPKMONMJONONRPNPRMJPLQPOOQNMPQRROH
.e'o do zenba lo ka masno lo ka bacru	Please speak more slowly.	.e'o,do,zenba,lo,ka,masno,bacru,e'o,please,speak,more,slowly	?	RQRONNOLRKNMLNPOPSKONSQPKOLOSOOPUPMRORPOMNPONOMNONINOOROORPPLKQQONRNKTNRPQLLONQNNLLNHMNMLLPPNOQNNNIVQQMNMMNSMSMNKPQQNNPONRKNSLPOQPPRMQQOMLQINPNLMRPLRNQNSMQMQPLOMLRMQOMKOOKOPRRQKPOPKNQMOPNQNONQPNKPQMNMPPNORMPMMPNNUQRNRPKPPLIORQPTQPTUOOROSMSPWQRRNRMRLMQRLLNPKONRONKQRMOMPLONLSONMQPMMLNMNNNNSOOQTPQNKTPONNLPROONMSPNRPLOXNOOMLTNRNNPNLQPTPQRMOOLRONPOPPRLNMPJNOMNPPSMOPQLMOMMKOOQPRRNNMPOROK
.e'a pei mi do kansa	Can I join you?	.e'a,pei,mi,do,kansa,e'a,can,i,join,you	👍👍	MLPROOROOKLNNQRQOPJOJLOPOQPRMJLPNQQNOKOPONNRNQKPORMRQRRRMNMNROOPMOOPNRORNMOQSJQNOMLPNNPTKOORQNNMQMLTQONKPONRPMMMMLQNMPROROPQPLPOOOQNQMNLIMKTQJOPSNLMLKLRNMOMUQPPJOONONNOKPRROOSNRPLNLNPNMQPLQQORNPPNSKMNMPOMPPOPQQLRROQKNNLMVPJOPKPKQMQNMPPOTNSNRROOIPNLQRTQPRPNPNOLQPNKONRSPPPOLQPPQNQNMORNNQPPUMOTPONNPRPJONOLMOQMTNSVPNRPRKQOPPLMQNJOPTNOPNLRJNONOPNPNQOOLQORLPOIINMNQRSPMQRKPNMNQNOUQQOSQMIJ
.e'o ko mi gidva lo ka klama lo do jatna	Take me to your leader.	.e'o,ko,mi,gidva,lo,ka,klama,do,jatna,e'o,take,me,to,your,leader	😐	PSPPRNUOOPMMQPPPPSKMJNMNNOOOMLMJQROQPKRQQNOOMPLONNLQMSQOPOSNLNNNOPPPLSPPNPNMQMROOMLQONNPPONOOONMMNOUPPMKOQPNKMOJNQQNNPNKSMLTNNNOOQOSSRONLNNNOPMKQMMMOOPPPLLOUPNPLPNMNNNNNONPOPPOQOLPPLQMQQPPQOJTQMLNROQNMQPPNNPMOOPOWNNLPPGNQOKOQOSOSPQNQSMNROXNPNIMGVRQMNSNRPQKLMMRMPMQMNSOORLPIQLSNOONPNPLNPMPPNMQOTLMOQPLNRNIPNPLTMUQONQLQNOOPRPPQNLKRROOPPOQKKOMLPQNPPMTORQSJQPMMQNLQTOSIRQKONOOQQPRNOLOTNLM
.e'o mi surla	I'm going to rest, OK?	.e'o,mi,surla,e'o,i'm,going,to,rest,ok		PKRPNRPNNKKONQMPPNISKROMNROPLMLMONRPNMRNOOMNPRNMQORQLQUROLQNQOPTPONLJUMNPPMOOMSMSLNQJOOROOOOSORNINHRRRPMQOMQNMQQMPPTOORRPNRRNMQORPPPNOMPNLLQPOMQQOMNPMQSOONOPPIPMPOKNSMMMSMOKMRNNPKRRMINLTNNRQNMQRLOQNQMNSORROOLUQKLQOONNPLQROKOPQPMNMOOJPPOTNQNPPMQJNNNOTTOPMPIQOOQQOMMQKLRONORQRRLMQPMKNLMLPPQPLMLONONLPSOPLNMOOQMTKQSOMONQQQORLJNOOPKNOPORPOPNLONMOPTPRPPNMRQMOLJQPOLNKQTRJSPJOOHNOQQOPNQRNNN
.e'o mi viska	Let me see it.	.e'o,mi,viska,e'o,let,me,see,it	👍👍	LPOMROOQOOLLMRLPMNIKPPMNOMQULLOPQQQOPNROLMMTQNOONPNNMMPRMMPPPPNNQNNLOQTRNKONPNPOPMMRNPROLPPSMNNMPROTSPNLPPPQQPPSKQQMRRSORNPPNNLOMJOJUMONJLQNQOOLSPLOOQOMMRRJRQLSNOQLMMLNKOKPMQTONQOQPLMSONOMPSRONPONROMPRMRMPPLPQLOOOROPONHNSMMOLPMLRORQORQLMMTORNOSLTSOPQUNNPRQNQQNSLOSMMNQQMPNOMQMNQQLOPOKNQNNQMNMPNMMNKSRTPOQRNOPTKRTMJMMQLOOQPSKRQOLLJPOJPRJHLNKNOQONONSKPRRPLPNNSOPNNRSLNRILNKMPPPPOQNNOOOQ
.e'u do citka su'o lo vi titspi	Here, have some candy.	.e'u,do,citka,su'o,lo,vi,titspi,e'u,titla,spisa,here,'ave,some,candy	G−	MLPNINPPLPOLMMRORRKLOLONMSPQLMNPNOPPMNROPOMROOQPTPOQPNOOLLQMRRORLMPRPNOPSONLSMRQLOQNJMQQNNMRNTPKPNOTPPQNSQKOOONPNQONPPSLQNRPPKLOOPOTPTOOPLNOKNLNSJPPJINSMQQOROQPQONPKQMLTPONNPSPOQNNNSKOLQNLPTOKOPMPOMPOONMPSNMMPKNPROLJRMGMQNKOOJRNPQPLMPMQQNTTQSNQKWORMRQMNOQKOONQRMNOKMNROPOQNTSPLOONLMRLKMLPONNMQPNPNLSQPMOMORSOOMRNMPOSPPOOUPMQPTJNPOOTOOQMLPNPLQQONOQQPQPTMKLJOMOLOKSNJONRNRLPNOQLMPORPNLO
.e'o re makcu pikta cu co'e	Two adult tickets, please.	.e'o,re,makcu,pikta,cu,co'e,e'o,two,adult,tickets,please	👍👍	QPOOLOOOOOLKOPNNPMLPPMMONOLROOQMPOOJQNPNQMNOPQNPTPROQNPPLNOQJNMPJKNQQNNSQNRMLLPLKKMMTPOTKOMPTQNQMNORNRSQQPNPSMOQSRKTPRRJONRPLJROMLLPSQLKNPNOQMQOORONLSOQOPQNVNNNMRPPPOMMKNKSJPOMSNKRLLLNROOLNQPOMONKQMRPTLQOQPROPORNRQKPONNMOOQOQPMMTOPNTNLQSNRKSRRPNPLQOQTPHPNMNPQNPQMQONUUPPNOMMKQLNNNPOTNNOJTLOPMKTONPOQOPSQNQRPPONSNIQRNPKOOQPLNONKOMOOPRKMOKOMNQROQLSQPMMPPPNTHLOOPNMPPSQOONOSKOMOMNQPRQMMO
.e'o ro da zo'u mi nitcu lo ka zukte da .i na ja do mi jungau lo du'u go'i	Let me know if I need to make any changes.	.e'o,ro,da,zo'u,mi,nitcu,lo,ka,zukte,.i,na,ja,do,jungau,du'u,go'i,e'o,i,djuno,gasnu,let,me,know,if,need,to,make,any,c'anges	👍👍	NKQOQNLOMPNNIPRRQOJRMMNNJPMQLJLNWNONROMLMMPQNQNORPRMNMQSPTPLQQNPQNPMPMKSLONMNOSRNOLPONRMLLTPQLMPMNOSPNPOOPQULPSPMOOMPPQOQOLNNQNOQNLRPOQNLLURMMOJQMNNLLMNNUPPPNOMMMNNNNPLMNLOPQTNPPNNONLOONOMSPNNPPOOPMLLSTNPKKJQPUPPUKPSPSPPRQMOLONRNQRSSQPOKMNOOOLOITNONOQOONSOKQQORMNRNNPPQPQLMORNPNQMPNQMLRNNTNORPPJKONTKRLOPQONMNSNSNOLOQPOOQNQSONNMOMPONPSKKPOILPOQRMSPJNPRRNPKOORPPNOTHNQMOKQNRLQQRQROSOLM
.i'a pei da'i do denpa ze'i pa mentu	Can you give me a minute?	.i'a,pei,da'i,do,denpa,ze'i,pa,mentu,i'a,can,you,give,me,a,minute	👎👎👎	NQMOQQQNNMOMMPQQQRJRNILONNNQNLNPVQNQLQROOMOSNQLOPONNJPSQOQRNPLLQRNLKLRPUNKPNOOPNNJMOMORRLNMOPLMPMNKQQMKNPNLSNPPMMNQONMSPQPKOLOQOMOPNPNMMNMMNOKNNROLLKNNNPMNMVQONMQNNQQNOIQMRMMSPSSMQPIORPUNQPRROOOMPPQONPOQPRNJPOOLOONRPPOIOSLJOMONQRPQSKPMPRIQMSMNOOPKNNRRMOOMKPNKLRMPMSOQSOPPORRPOSSSNNMTNPPLQQMNPPORPMMOQOLPJOPPMSPSTNLQRSOROSOOMNOMPOPOQIOMKOHNLMRRSOPTPOONQLLOLNRMLRMPQNLPHMPQLROMPSOPPQRON
.e'o va'o lo nu do ganse lo selsre kei ko cikre	If you see a mistake, then please correct it.	.e'o,va'o,lo,nu,do,ganse,selsre,kei,ko,cikre,e'o,se,srera,if,you,see,a,mistake,t'en,please,correct,it	G−	OSOOJPPPRPUKQOLPKPOOOQMOQONSNMKPRONQQNSNOIRQRRNQRQNMMRPQMNQQUPKQQLNHMOPRQQLOOSQMONMMQOLLNNQOOPNPNRLSOQKQLOQVQOPLLQOOPPQNNOQQKKPOMMRLMNLNMMQKPNQQTROONQNMLPPNSPOKQONOSMMNKQNOOPQPOQNPTOPPPTPOOQRPNUOPPMLOSTOLPQOQMNOQMMPOOTMNRLIOJQMPOLTONPQNMNRNPJKONQMSPRROLNOOJOQMQKQNMOLVOKSSNNMMKNQRNRONOQPLONLTPMPPINONQRQONNRPLJSPNMQPSNOOOQQOPMQLMMQOMLQKMMKRMROOPOLROJNQNMOLUQQOOLOUNOQPNHOPONOLLKLNQOQL
.e'o do smusku la'e di'u se pi'o lo sampu bangu	Could you put it in plain language?	.e'o,do,smusku,la'e,di'u,se,pi'o,lo,sampu,bangu,e'o,smuni,cusku,could,you,put,it,in,plain,language	NA	PTNPKNRONOTOROOOQUOOQPOQROOPQJPRSQOOOKNPLKOPQPMQNNNJOMQNONLOOSQSPOOUNQMMQRJLPMMOMMPPPQOORNKPQNLMOLJUPOQOILONPLOMNKOMNNQNNPLSMLRORNORPMPLNPQLPRQRRORMQULKMQOKRPQNOJQINPOPMKQPOQONOPOOONRRRRLNOPQNQNJPSOINOOPNPMPNONPQOSQONPKPQILONNNPOORRSQMJRMUPNROSJONPQOPQLPOLLOLMTMLMPONSPMLKOQONLNRLLJOLMNNNPNMPNLSKIPMMRNNNQMPNRKNPPPNSRPQONOPMPNRLNOMQINNVOPOSRUNPKQOQSMORPPNOMQPNRQOQSOOKPJNOPPNSONMRQRPJ
.e'o ze'i denpa	Just a minute.	.e'o,ze'i,denpa,e'o,just,a,minute	👍👍	OMMNPPOMUNNLMOOQOPGRNNMNMLPRNNJPUROOQQSLRMNSMPOMPONONOQROQONMOKOQIOKMQPQNNMMOORNNLOPOMUSPPNRNORPOQLTNNLOMPKUNQRNQQPQOOSMPPOPNPOOOUMOMPNMMPLLLQMMOPPKLPOPMLMLQPKPLOPLPOMMLROPNNRPNRNNQNLSOPPQRTQKORORQNPNRMMNUMMPPNKNPNQONNKRRHMONMPURQNWIRNMOJSRSOOORNONKRRNMNNMHNONRPQROPNUQLQPMOMQQOOMONRMOSNOOSPQRNSQMMMOQLONMNQKROSRRMQRSPOOSUNKNUMMOPRPMRMKNKPONOOOOMRTLNNOKNPMQPOKOPQPLNMMPPSMPPONPNMMRSMO
.e'o cai	I'm begging you.	.e'o,cai,e'o,i'm,begging,you	👎👎👎	MPNPNLRPPJJJNQOQRQKMQQOJKONNOOMMSQRONLORNJQPNPOPPNONPQRQRRRNOPKSQNNPNQORLNONOLSRLILQKOSNMOQRIQLPPNJXQQSLONJPPQMPOPQNPQQMNQNPQIKONOQSMQQQMMOSKPRPPOOQNNPOMPNOWPPRNMOMPNLOMPQPQQRKNOMOMMNMQMOQQQORLPQNOOMLOQNMQNSNPNPMTNMJQLKRNMKOQOKPUORORSLPTPQNQNMMGVKLOOOQROQLKPOOPOLOQNSQNPTRQMRRPSOPNNRLMQMQPMOPJNOROPRNQMOJONQRQPTQPONPQPSOOOOPPQNMOPPRQONPMLOOLNOMSQRSNOPOLNMNIPNNOPORLOOLLMJNQNNPORPSUQMH
.e'o do masno lo ka za'u re'u bacru ta	Could you please repeat it slowly?	.e'o,do,masno,lo,ka,za'u,re'u,bacru,ta,e'o,could,you,please,repeat,it,slowly	B−	QRRRNPOKQKQPQNPQOUMNPNOQOQLQNMPOQROOLQTPNLQPNOMORNKMJPSQMPOPOQOTSNNKMXPTOPLLNOPNKLNNJMPMMMONQLOOOKNRQNKPLJLRMQNNPOOMQMPRPRMPPMQONORQNNNQLNNNRPJLPRPNNOOLPLQOWQQQJLQLWPNOLOMOOPTQNPMSOMPMMPNRPOOROPNQQPPLQMPJRMNKINNNPOSILOLORMJOPOQQRNLRNPQNSMOQRPMQQQOQNRSOOLLJOOORSLLNQKNNQNOOPRNNJPNOKOQNJMOPRLOMOQOOGPQNNKLOPNPMLMQRQRMNVNPOPMRPRNSNMJSQPQOPMMOLPSOPMSMSNOMNLPMMORQRNMQSPMPNMLNNOORNPOKRQSPN
.e'u curmi lo nu do jimpe fi da poi tarti .e de poi te tarti fi da	Let thy understanding enter into the things that are doing and the things which do them.	.e'u,curmi,lo,nu,do,jimpe,fi,da,poi,tarti,.e,de,te,e'u,e,let,t'y,understanding,enter,into,t'e,t'ings,t'at,are,doing,and,w'ic',t'em	?	RQNMMOSKPQOPNQQOKSJJNMOOKSMLUMPPQRMUOPSLOPMLPOMLPLKPKNNSOQNJOMOQNPOQLPOOQNPMONNMORNPNOOMSPNJNPPOONPTMRNQOOMNPONONQQPROOPNOPSOINONLRLNSOLOOQOOOPLKPMNOMKOPMTPOPOPKPOLPPRIOOLKPSSNIPMQRINMOQOOOOOONMIOMOIPORNNOMPPPNOROOPKROMPRMNOORKQQOMLQQONKOKKPSNQKSMQPRSQNPONMONIRNNMPNJMNLRRKMSMOJPQUKOLSROUOOLUOQNNMKSLONRMRMQOPMNOPNKNNQKOOLPQQPNPLRPMMSRRQLLNTNPPOOMTNQNPNOMLONQMMQQTLNOPNOORQPSPQQJPQSSM
.e'u do ciska de'u	Please write it down.	.e'u,do,ciska,de'u,e'u,please,write,it,down	G?	NROLMLMPQQLPOOMPLPKLOQPOONPRMOHPVQMNPPQOOMQSMMOJMSOQNNPOMPOORNLPSLMPNNOSQMQMPOMOKQMRMLQMMMQMMOMPPPKSPQNRNKNPONORMTSPSORMRRLQLMNOQMORSPNPMORHOSPMMOPQRUMLMTMKOPPMLNNPOLNNMNIOUQQNSRMMOMMQPOORSRQOORLNPMJOMPNMQLLQHMONQLPLMMIOULLOJPLOPMRRRSPOOJSNQQNNLSMRQRRONOLNMLNQPPONRNRRPORPRRPOLPMNPQONMPNRMMMRLMQRHPSPOQMOSOMQROPQOOLNSKPOPQSQQTUMQRRNNMSMLQMONOONPSNSLSNOPNOPOOPLOQPPQOKMMLNOUPONNONOQQQM
.e'u do ckire xo'o la .djim. lo ka gau ce'u do fliba	You have Jim to thank for your failure.	.e'u,do,ckire,xo'o,la,.djim.,lo,ka,gau,ce'u,fliba,e'u,djim,you,'ave,jim,to,t'ank,for,your,failure	👍👍	LQQOPNTPMNNNTQLNNSNOOSPMNPLQMOMJOSRMRSOMNPQNNNNPRLLLMPRSKNMKNNOQRPNMJROKRSMOPPRPNNMNNOPLNOJOQPNOQNMSNPRHTPNQOLNNPQOPNQONPQMRKMSOOMRRQQMOOJLQNLIRNPNPLNONLOPQQROOONNLONNOMNMQNNXPOPNPPRPPSQPOMOKOPNNLKSPLNQRNQNTLPKJOOORJNONLONKOMQORNLKMQNRONRKMOOMLSTPOMQNOMORMIOPPNQMLSNONNOQPORLMNNNRPONPILPQUQOTOSLSPLQQLOKNPMNSPPUQPRORPQOOLPOOVPMKONPSQTROMNOONNORQPQUMRRPKPKMOQPMNRPRLOPTMIONMPOKQNONQPNO
ko na xanka .i lo bandu'e'u ta na bangu	Don't worry. She doesn't understand German.	ko,na,xanka,.i,lo,bandu'e'u,ta,bangu,i,don't,worry,s'e,doesn't,understand,german	😐	RORNMQTPPKOIMMIRPPKQNORMQONNOPLROQQNQNOOILMNQPPQLKNLLPRQRPPNLPMRMMNPMSSNQUMLQOSPKROONMONPMLKNSOPORKROTQUJOQSMMQPMPMPTJPOLOMSNLROPOOONSRPLPOOMMOSPQRNROPRLPVPNPKOOKONQPKJVONMLSOLOMLQQTOVTPPNLOONQPMOOOINQQJRORTLOQPQMNQLMRLRQMIONPLONONRQLPLQORKSNNPKONQLPQOMPQLMQNNMNNNMLLOQNRQPOPNPKOMOJMMPMMPMMKOSQRRLNNNNTRMNPNPSMNQTPPRRQOONPOMOLKMMNNPNPNPQQOTQNPPKPRSPMNROMLMQONRQQQQOLPKQNPQOQOPMPOROPOO
.e'a sai do pilno lo mi vlacku	Please feel free to use my dictionary.	.e'a,sai,do,pilno,lo,mi,vlacku,e'a,valsi,cukta,please,feel,free,to,use,my,dictionary	G−	ONNOOKQSOSSMRNOPQPKROQSPOLMNPOLRSPQPONOMJMNMQPMPPNKOLQPMOMMMPPLRMKMPNROOVOMKPLNPLTNMKLNNNNLONLPMONIRQPOSLOLNNLNOOMQPLOSOLPNPLKPOOONORNNOKOUVOSMOKSPSOSNOJJMMOPORPNLMNOMMNMPPQPOOMQROONLQPQRNPRQNQMLQOOKPMQQPQLNLPMNOPQOJSQKOMMGOQMNUPLOUSPJNNORLOPLSMRLNNOQLOOOOLMNQRPMMPQMRPOMNQQSTLJRKOJHNMMKTTPMQMQROKNPNQPNQNLNOLLRRNNPNOTRONPSPQOSOOPROKQQQQOOOPTOPMQPOOLNQMLMQJMQRPSRPMORQPPQURPPSNRNPSOPO
.e'u do ze'a surla	I suggest you rest for a while.	.e'u,do,ze'a,surla,e'u,i,suggest,you,rest,for,a,w'ile	👍👍	OKOOPPNPPJKPLQPQNPPPLQPOLQMPOKLMOORQOMQMOQQOPQNKUQNRNNRQONRLNQQPOOONOTOPJQNPQLTPPOORMPSPLNRPQOQQMRHTPNPOMNNRONOSIRLVNPQNOPNPMLPOLOMNQMOPNIMNOKMNRSLORJQNMPPOPQNPLNNNPSLMKSMRRLSRLPLQPMIMNQNPQMQMPOKOMNNPSPKOPNKNULLNQMOONQJQRKKORNPNPNNPIRNNQOSNRONSMRQMNTSPLOSJMNQOQKORPOQQQLRMOSQOMMONNMNMKSOOVPQLNPNQNORQMLONPNOOQJSSONOOQRQORLRPNOQJOOPNTQONMOMMMMNPQQPONNOOLMNMTNRKNOPSRJTQNONHQPOPNNNQRNJN
.e'e mi'o finti su'o bangu pe mi'o .i te zu'e bo no drata cu smujmi lo se cusku be mi'o	Let's make our own language so no one will know what we're talking about!	.e'e,mi'o,finti,su'o,bangu,pe,.i,te,zu'e,bo,no,drata,cu,smujmi,lo,se,cusku,be,e'e,i,smuni,jimpe,let's,make,our,own,language,so,one,will,know,w'at,we're,talking,about	😐	PPMNLNQMROOLPMNMNOMNSRNONOONQLSTUQOOQLOLLNNQPTMQMOLMOMMNMNLOMNOQOMQULQNQVTMMNNQMPNNOPPNPQLIKPQNQNPJSNPPOMPLPPLONNPROSMPPLRMQOQLOTRPPOONMONRLORPTNPPKOUNOMOQJNPMPOPOJNONQSOMOMNONLMOPPQQQPNONMQSNRONORKLNMQQPQPTQNMPNSPRNOLLMOPNOKOLPMMRRPPNJPQPMSQPSGRGRKNONMPMMNNPOMNNMOPINMJMOLMPMMIOMTLOOOPPLRKKUQLUOIOOPQMNPQOLPPOOSQQOQORPOKPPRRMNMNLMSLPOTOSONOPOOMPONQNPPKQMRLNPOORQQMMLLMMOOQQWRMQPQRQTP
ko'oi ro da zo'u go do da djica gi do tu'a da mi cpedu	If there is anything you want, don't hesitate to ask me.	ko'oi,ro,da,zo'u,go,do,djica,gi,tu'a,mi,cpedu,if,t'ere,is,anyt'ing,you,want,don't,'esitate,to,ask,me	B−	NOQPOPRPPNNJMQRORQKPLNOMHNPNNMNORPRPPPSQMNQONNOLNONLLRSOLPQLNNKQQOOSPQNOKVOPQKNQNMJOMOPRMMONONLPLKJSSNPMOPMPNRMRLNPMPPQPNSPPNKLOPMNRMSONNOQUMJPMQNQPPLMSSMLKTQMPNKPQJKNONRKPMLTPNNMOLJLLNQRNMQOKMOLNOMNMSNNPPMPNNRNSSMRNNOKORLMOSMOTTRRNNOONTMORONQNLTLLOQNNJSOPMOPKSQKTNKQSNMPSSPPSNOROLOSQMOMOOQQOOOPMMQQNULOOTOOQQQNQPOLOSMTOONPRLNNLONOQOQPMQJLLOPOOPPTOOOPMQMPLOMLOROPSLOSKKOPLPPMRMRNMUMNM
pe'i mi'o .iancu lo ka gau ce'u jdika lo ka kargu	I think we should reduce the price.	pe'i,mi'o,.iancu,lo,ka,gau,ce'u,jdika,kargu,iancu,i,t'ink,we,s'ould,reduce,t'e,price	G−	OSOLMPOQQONRNRROOSNOKNNSNOPNNOPQQPQMRPNOOMJOMRNMRQRQMJLONKTPOPNQRLPNOPRQQNOOPMPPPKOLNMPJKJNOPTMSNOMRPQONMLORNONQJPKQRMPLNOOQNOLOJUNFPQPOMLNMNORIQQQLKNPPLPPMSPNPKQMNQRLOLRLPTPUMLLOPNPMLQJPPNMORORSPJNNQQOMQQQQMNNRNSKQSPNNPMPQONQNQPNSQOTOQOPONSJRLLUMROPPPOPNKNPMQRRPTPOLOQMSNQQPOLOKNPQOLRRNQSNRNMMQLPQOMOQRPQNNMOKNPNSIOSOMOONRSOMNSRQSMNQNNPOMPQUNQPNNRNOJOOPOJKQOPLLLRPMIQONNPOPPMOQJOOGMP
.e'u klama fu lo basfa	Let's go by bus.	.e'u,klama,fu,lo,basfa,e'u,let's,go,by,bus	GD	QNPNPQVNSMMSQOQPSMLNRRILNOQMMNPOJQLNPJSRPNMRQROOQPPOQPMRNPORNNQNMROQQQSOONONPNSLMKLRKOMQPPNLPOMPKOJTNWOMMNPOQNRNOROMOORNNOMRLNMOKPRRSMMLNNONSJRMONNNQORNNOONWQNNLSKKKRMOONHQMQPRMNNPNMNNOROMUNQNTOPQQMNONQPQNMPMNNPOWRNLLOLSQRMOPNPNQKQOPTLMPPSNUNLQIPPPLTMRKOLMONOPPOQROMNQPOMNOMSOKPRNPPNJNMPSONMNPOOPLOORROQMKONOSOQOPNOLRONOOOMNPPNOOPPPMRQOOLMLMNOQPNNROKOQJNPIRQRMJQNRMOQQIPPKQPPOKOHQNRRL
.e'u klama fu lo sorprekarce	Let's go by bus.	.e'u,klama,fu,lo,sorprekarce,e'u,so'i,prenu,karce,let's,go,by,bus	👍👍	QNPNPQVNSMMSQOQPSMLNRRILNOQMMNPOJQLNPJSRPNMRQROOQPPOQPMRNPORNNQNMROQQQSOONONPNSLMKLRKOMQPPNLPOMPKOJTNWOMMNPOQNRNOROMOORNNOMRLNMOKPRRSMMLNNONSJRMONNNQORNNOONWQNNLSKKKRMOONHQMQPRMNNPNMNNOROMUNQNTOPQQMNONQPQNMPMNNPOWRNLLOLSQRMOPNPNQKQOPTLMPPSNUNLQIPPPLTMRKOLMONOPPOQROMNQPOMNOMSOKPRNPPNJNMPSONMNPOOPLOORROQMKONOSOQOPNOLRONOOOMNPPNOOPPPMRQOOLMLMNOQPNNROKOQJNPIRQRMJQNRMOQQIPPKQPPOKOHQNRRL
.e'u do catke lo zunle batke pe lo pevysmacu ja'e lo bavla'i ve pruce	Please press the left mouse button to continue.	.e'u,do,catke,lo,zunle,batke,pe,pevysmacu,ja'e,bavla'i,ve,pruce,e'u,pe'a,smacu,balvi,lamji,please,press,t'e,left,mouse,button,to,continue	😐	NMPOSOPKNQOOKQNQKMMRLMOPJOMMMNMLOMLOKMNNMKQQNOMNXSOOPOPTPORPQPKQPOPLKQPOLQRLPPRRMNPQPQPRPMLQONQPMNKORNOMQKOOKNOONOSPORTKROJKQLOONHOQMTPRKORIMMOKTRKKRPOQOTOQRQPNLMKMQORJKMLNNNTNPQNOPMONNRJNOOPROQOOOOOKRMKNKKLPOPKOSOLNOOMNNOKOONKONQQQOQRRNPNSPSNNMKMRMORSQNROMQSNROMRSMSQQNRNMQPPPJNOKQPKOQPPSPQTOQQRPNQPPLPPTMRMOMOPQMRORPQONNRMQOOPMOOPTTOOJPQRRKNNQNMROMQMMOMORPNIQOPQJPOPLMKORNPNLPOQRULP
