@rowCount	3393
w	d	n	t	g	r	q	v	s	b
tendo	$x_1$ is the tendon/ligament/sinew attaching body part $x_2$ to body part $x_3$ in body $x_4$	see {xadyskoterjo'e}	experimental gismu	tendon	tendo	KOOPNNSQRNVOSQONMQLPOSNPKOPPONJRKRMPPLMPOLPKPUNROPNOOSRQKLLOSQQQNLQMMOONMQPOTMQPKOPRLSMOLQOMPOOOPNKOOOTRLKLQROPONLMNMQOPRPKOLLMOOMPJHNMNLMPNLSNPKQLOPQPONNPMKOOQNNOKPMNOQKKMPNPOQLQQVMRNNOJQNKPQNOLNPNNMSTMNMUPQMOPOQPRKMOJOLRPOLROPNMQSPQNKJLRRNOKSPMOOQOPLNPMLNMNNNNPMTNTRNNOMLQNOSLPNNOPMNMOPOQOLLOOROMPLMLMQMMNNOLPVONNRLPPOPOPJORQQQOOPQOQMKRNJSOSQNOMQJOTLNMLRTMNQOMQTPMPPNMRNOLJPSPOQQSSQ
ualno	$x_1$ pertains to Walloon language in aspect $x_2$		fu'ivla	Walloon		POSMMPSLQMUJQMVOPOOOQPNPQRPOTRLSNQRRMLPPNLQNQQNRLMLLOOPNPQQONRRONMNNLQPOPONLTLQMLPOMNONLMMMKMSOLMLNOOPOQNNNORKMJPONNMLONPPMNPNPORRNLNONNOOPNHSPOMQNNNRMLLQSMIRONPNKMMNNPPNLOOMOLMLOQPPRJOPMOQNQNPNNOPJMOTRMMSQPOJORNNOSJQMKMOQKOKRJNMKUTPOIMMLTPQRNTQKNQORSNPPQMMPLJOMNNSKLRPRPLKNONSKPPPMPOOOROOSPPPMPRKSISNLQQLNNMNOOTOMNPNNSOLOOMMNONTNQNNLLPQNOQPQPKLPMTMMOONOPSRLQNTOPRURQMNMOQONQRMPRPRSQP
uanta	$x_1$ is a part of Lojban text representing rule 'bi'in'/'ek'/'gi'ek'/'jek'/'joik'/'gek'/'gu'ek'/'gik' to the first edition of the book 'The Complete Lojban Language'.	For the description of the syntax see {jarnezi}	fu'ivla			KRQONMTNULTOTMSSLONLSRMPRRQOQPKQSPNTOMSPLKRMPSLOKRLMLPSNLPOPORQPNINOMONMMPJLURSMMNPPMQMNPRPNRQMPOPPQSQPOMJRMQMOMPKKQOOORLOLOMOOOQOLKLMNLGNPMKPMPNLOOPOOTOSSMMROJOMMMORMPMMLOMQPQPMMNOPPLMQKNNQQRPLMORMOOPSLLNOOQMQPNNPRLKOLPNONOPQMOLLSQRPLNPPRLOPLRNMNOLRQOMQOMLPMHPOOLPNOQPOQNMJPNOPNNNPNONNQQOQQPRJOOKMMQMPPPNOLPQJOUPMNNMQOOJKLMQQONRQRRJLPOPSPPTMONNPMPNNPRRMPPQLRRRKLPLOPOOMQLPLOSTNQKTTPL
uargali	$x_1$ is a dingo of breed $x_2$		fu'ivla	dingo		KQQQKOULPQTJONMQPOKPNQPPKPPOPOKWOMQPROSONKPMNOLMPLMOOQOPNQMOJSSPPMLOMPRPPQLPSPRRHMQPMRLMKQPOQPOMRPKQPRNOPONLRLNJNNMMMMMNQNKNOIOOLPNLMPMQINMNKOPRKONPOOQNMRPKJSQNOMJLONKTPLKOLMOLPMOLROQLPNMQPOOJOIMOQPRPPNNLTQRPPQMOOQSOMRLORJMONTNOOPSQNOJORORRQPONNNLRMNRPNOKKJSNPPPKOOLOSPOOPPSSMSNPMLNJPNNNVLNOOKIQQMNNNMLQPLNQONNPSONOSMKQOMMPLTQMNQQTOOPPONPQPPRNNNOOMKNPQOMRNQQRNOQMQPQROLNQPRMPPRPQQTRSO
uasnce	$x_1$ is a voiced labiovelar approximant sound produced by $x_2$.	Synonym: {ubu zei zunsna}. Cf. {usnce}/{usna}/{ubu zei sance}, {iasnce}/{ibu zei zunsna}, {zunsna}, {nalmosysna}.	fu'ivla	voiced labio-velar approximant;voiced labiovelar approximant;voiced labio-velar approximant sound;voiced labiovelar approximant sound;voiced labio-velar glide;voiced labiovelar glide;voiced labio-velar glide sound;voiced labiovelar glide sound;W sound		LLTLKMPPPKVHRMPPROPOPRPQSROORRLPOMPPNNSMKLSNNQLKLQLMMQMNOPQQNRTPNOMLPSPPLMJOVLQNMNNMMRMMOOKMMRNMQQQPPONONNKMRMNIQOMRMNNOORKNQINORPNMQPLPKMOQJPNONOKLPQPQPPRPLQNMNLLPNOOONOLNNMOOQHOMPSQIOPKPQNSMOLLPROQQROOLLNNPJPLMNOQMNMIMMPMOMUPRLOSTMNLNONPNPNPSRLKROQONPONMNJPOOQQMONNQPPQJOOSMQQLRMMMONLQOKTNNTKQTMQONKKPOQOSPONQRMOPRONQONLOMNPOMSORMNPOQPROOMPPLMNLQKOMQPMMPMHQPROMQSMRJOPOQQMQSMPMORRSM
uatno	$x_1$ is measured in $x_2$ watts of power (default 1)	See {klani}, {dikca}	fu'ivla	watt		QNMRNLPOTOULRPOPOLLPSPQNSMPPSPLPOQPRRMQONJVNLPJOKPRQMNRPPPPQMOPMNNONKONMQPNMPNRONNKRTTPNOOMNNUONQOKNPQPQLKNRRMQKMMRNORNONNMMLMPOOQTKNQKQMPSSMPNPOONNQPQQPOPRJPQMNMHNPOPQOPRNKOPIRMOOORULRROPNLQMMNONKLONSNNOPPNRJQPMOMPPNOPOPNKOKTLQONRNONONIKSSQOLSRPNQNQPNOMMNMRKLOOPROPOULOPIPMSMRQNMMRMMPMPSGQORQLNRNNJMMMOQMRLJQLSROPKSKLLOKKOLPQNLQOSMPPPJPQPOMQOMPRNONNNNNLNROOPQPJLRMOOQONRONKNQLQKORROO
udjo	$x_{1}$ reflects the Second Zhou Dynasty culture/nationality in aspect $x_{2}$.		fu'ivla	Second Zhou Dynasty		MQNSNORKRMXLPMNPQOOMQLQOPMNTSOKSPQOUPORMROTKOQQNNPOSOLPRPOMMMPOOONLNMONPPRMKNMKLPOROKPLNNORQRRRMPQNOQPPQQKLLQMNLMNRSNOLMONMOONMOQTONMKOLLMRMJONOJOOONSOMOLQNNOPNOLONQOQPROOPLONMPMPNOQQJMONTTIPTMNORPOOMPPOPLMOOKPIPLRULQNKNOLKOMSNPNLVQNQRPPPQNQTOQNMLPKTNKLPOOOOOMNKLNOOOSOONPMLOMQNMOQQKOLPNMNORQPNMRJQLPKSOQHMNNMPNRQMMKLPOOLOSNKPPPPQLPQNJOOQRLPPONKQKONOSLPJQPPJUORNPRSPROORPPNONNMSPOTSQN
uebjugau	$x_1$ links $x_2$ to resource $x_3$ with link $x_4$.	See also {urli}.	fu'ivla	link		NMPRTQSMROSOUROSNROPRPQNRJMNRNNOINSRQJQSOOQMNSOOMNJOMMSPKPNQSQONOOLSMONNNQOPSPLKMORNRTMMQQSOQQOOPMJPPRPOMNPUONNLMJLMNNOMROMNMHNOTRNJMNMPJNLQIOKMPTONNPOPQQRMLQOOOONLNQLOPMMNPPPKLKPOOQRKJRNOPKOOMONMPMNPSRLKJNMQMJPOMPRLOMMOOOPOSQPNKOTMOSNNMNOPSNKRNOOORPTNNOROKONRMPPNULPPPLLILNRKSHQROQLLOOKSMNPPPLQRQONNPQPMMOQNPNPRLMMMORMOMPPNNONRTSOOLRNMOQQNPOOOQNKSNOQMMNOQNNOOTNORQOONNNRLQKOPRPNQSROP
tylidos	Toledo, Ohio, U.S.A.		cmevla	Toledo		QLOPKMOLPOTMPQOLQMQOQQPPPPOOONMMPOTJRRLNLNOTPORPQPOLNROPPRQSQNKRQLOPKIUJPPSSPQPPNMONONLMRQKMKNQOPQPSPPRRQTMPMSROJNRORRQNKRQPQQLOOLNQPLNPLROPQNOOQPLQOLNOJOJMOPNOOJQMSMOMQOOTTLORQOKKNOLUOOTQKULNOKQQROOLQNPPNRMMLQLTRSJNMONRPMQOPMPOPNNOMOKMPNLSPMNNLOOQOKNNPTKLONPSPPORPQLUOUMRNLOPMOOMOPOQOLMOPOKQJOMMNMMNPMOORPJOQNPOPPPQMJJONQNQOOQSQOONLNQNORPOOPNNMLPOMLMRMLOKNMLKKLOMMSQQONLOQOMMSIOPSQPN
uabis	wabi/sober refinement/subdued taste	Cf. {sabis}, {uabisabis}	cmevla			NNQROOTPOMPLONOQSPPPRQRMOSORQLPVRJLPOPPNPPPQMMNOPPLJNOPPMQRNLMOPRNKNRMNNSNLQPNOQOPQOPKNINPMMNNLONOOROQNJNLQSLMLPNKOPPNPOMOSNOMOONPLOUKMKONRPJQQJLOOOJPOQIMQPPPPRPMJRNNOMNRPQNQKQPQPOSRHNQMNNNQMPJQLJPLMPQRMMRNQOOOMSMNNLROLPRLNOSMPTQOQOPJSMOPMRRTPNQOOMPRMPNOOOONOQOMIOOOMQRPOJMNRPLQMQPLNOOSLMPOQOPOQNOQQMJNLOMPLSPPNNNTOMNRQONKOTQPNMMMORMPOROQMNMRVQNQOQOMQUMONQQMKSKOMRRKQPNORVORPPMOLNTRQJ
uabisabis	wabi-sabi or imperfect/impermanent/incomplete beauty	Cf. {uabis}, {sabis}	cmevla			NQPRNMOMOQRLTNNQQNORQRMLQPNOSMOVQORRLPNLLNOTNNPONOJHKSQQIPPMNRPPSOMMPRROLRMPPOOQMOPNOMOKNKLNONMNPQQRNNNPMIOPLNNLOMONOORPMPRNLLOOPPNROOMLMNNOLRQOLNOSMRPNLNSKMQRPQQIPLMNNMNNORQSRMROPQQIMRLKPOMLPNRMMQMOMNSNLRNPQNQLLJNNJMMRQRMNORLPUOOOQPLQMQOKPRKNQSOMJNTOPLQNKLNOONOIONNLSQOONQMPQMQMRNONQQOOPMRSQKNOQLNRQOQMNMNORROJLQRLQNQQONNNJRKPNPOLRLPQQRPNMNOSNMQLQOPPTSLMSSMJOPRRQWMRPNMQRLQNOOPOQTPRN
uacintyn	Washington.		cmevla	Washington		QRRRNORNRQNLSNLMOLKPPPMPRPNQPPOKQRSNNPTQPQORKPSNPRSNNQOOKRPMSKKTNQPPOGNOPQUOQOSLQNLPNMPSQNKNMOJOOPJSORONQNGSKNQRLQOSOKMMMMNOLJOOOLRPNOQOOPQPQOQQPRIPMPPPMKPNUONOQQSNNORLQPPRQQOPOMPQMPOMNMPPMQMQOKLORNQOSQOPNOKMIQNQONKJPNHOQONONKOQPOQMPQONSSQPTPNPOOLOMOLOOQJQOQNVPKQNQLPUNPJSKOKNNOOTLONLOPKQJPNONPPQMKLOPPLOQOLRQRQOMPMRLKMOPRMNOQPPPPPONMNKMOMPJROQNPSPNNSSMMPLNQPNNPMOOORMPOKQONQOLLKRSQNQ
uAcintyn	Washington		cmevla	Washington		ORRQMPQNPRNKTNKNPMJOOPMNSQMPQPOJSRQNOPTQPRQQKPRNORSPOQONKROMRKJQOQONOGNOOPUNQNRLQOKPMNPSQMMOMNJOOPJUOQPPQNHSKNQRKQOSPLLMLLNOMJNONMQONNROOPRPPPOQQPJPNPPONMQNUOOOPQRMLOSLQPPSRQNPOMQSMOOLNMOQMQMRNKKNQOQNSRNPPOKMJPMQONLJPMINQNOONKMQOOQNPQPNSTQOSOMOOPLONOKNPPKQNTNUQLQOQLRTOPJRKPKOMOPSMONMOQKQJONNMNQQLLMOQOMOQOMRPSQOLPMRMLLOPQLONPQPNPQNNMMKLPNOKSNPOOSONNSROLPMNQPMNRNPPNQMRQKQOOQPMMNRSQOQ
ueb	The World Wide Web.		cmevla	web;world wide web;www		QLOKOLLSNOSPOQONPPMLVPSPKPMMSLLPOPLNMNORPOPQMPLNLRLQLQMJOMPLOMRQQQPROMMMMTPMSQMOOORLOKLNNONIRQNNRMNOPOOQNQQUPKKQLJNINPTPMQPNNKNOTOQMQOPQKMQTLRPRSRTQPRSQNKLRPQOKMOQOMNNLLMMTNLLPUPNPQQMRPQNPMOLLMQPLONMRTRLRQMMQNQOONMOKNPLQQQOONPNSOPMKMQOQLNLPRHLROLJQTPPNPPPKNOLQLOQNPOOOMPFSNMSPPJNPNNOOKNLVMMORKLQOKLNPPQONQSSOPQQPMKNNMPLOOOOSQQQOMQNNMMQINMSPOLMPRQOPONNNMNOPOLMNOQRPQRQPPPLMONQOONPSQPMS
u'ai	attitudinal: \n{u'ai} - triumph/victory\n{u'aicu'i} - draw/tie/inconclusive\n{u'ainai} - defeat/loss	Does not imply superiority.  Related to: {io}, {o'a}, {ui}, {oinai}, {uo}, {u'a}.	experimental cmavo	triumph/victory		OPOMNRPOROQMUOMOONNNQOQRSMKPRPNKQQNSNMQNMLQPQSKOKQPPOMQSMKMNNSLQNMPOMVSKSQNOPNLPLPMQRNMMPPLRSTPPPMNPOSJOQOKLQLQHQOJSKQQONNMMNLOOQNOQJPLNIPKOKNQOQOLOOQLLQQNPJQOJKNLMLOOSKLKOQONMNOOMRPQLNSKPMLNPOONKONOPNNRKPPTNLQPMOPTMPOJNQQKOOOPPMOTNIRSOMPQORQLPQNMMPPTMNMRMMPOSNKKONOLSONLMPNROSROPPMLNQMNTOQPURQLTLLNQLTQPLPQQNPQRPQPPOLROLRMNMQOKROOOLNOMPQOPPRLKLPKULPRLONQQONPOOPOSQPQMMNOOLMPPRPKPTOPO		UI1
uai	attitudinal: \n{uai} - friendly/friendishly/amicably/companionship/compatriotship/comradeship\n{uainai} - antagonistically/enemyishly	See also: {ai}, {au}, {iu}, {o'e}, {ua}, {ui}, {kansa}, {pendo}, {prami}	experimental cmavo	amicably;antagonistically;friendishly		MKORNPQOOMTNSOMOPMMPMNQQRMNOOPLQQQNUPOQMLMQNPOMNINMQLRPRMNMPOOOQLOOOOUQNPROKSNPNLQNPNMMNNRMRQQNOSJKPORMSQNKIQMPIMLNTJMRLPQLOOMNOSPMQLOMOHPOQMROOOQOONQMOPLOOOQQNLPMMLQQPQNMPPRQLMLONSTKLNRJOPLQMQLKNQONQRPNNPOSNJPMQLMSPQRJNPPLOPMORNPQSOSLNQMRQPQNRSJPMNQTKLNOPKLMRJMHLPPLRTONKNNPNTPOMONMMSKOSMQNQNPLRMOLLNLQONQOOLMRWSQOPLLOOLMNNNPPNSONOPNONRQPQORLNMNMQOPPNNMOPMKPOPNOTRNSMRLOOLKNQOQMMSRNN		UI1
u'a nai	attitudinal: \n{u'a } - gain\n{u'a nai} - loss.		cmavo-compound	loss		LONPOTSPUOOMTNKPLTLNOPORSLMPRLNMPOLQMLOPONSOLPLMMOOSMPNSMNKRPOKNMMNNNTPLPPPNSNPSMPLMQMNNRPLQOQPQQKPQPSLPOLMOSOOLPPKUNQOLLNKQMLOOOOOOKOLOLPLOISQMQQQLORONQONMJQPMJLLMMUSPMOMMOOSPOOMKNOQOOUMPPMROLNNHPPNQPOTLMNTLKTNOOPRKPPHLOQOOJQMPMNQSMUQOJPPPSOKNRRKPPPQSNMLNLPLOPOGQQNPRQNQLPNRLPRNSOMNMONNTPROPOOPSOOMNLQPOLORRQQSQQPNRNLQOKOMOQNMOPONNPPPOQRPOPQPNNLPVPQROQQMPPNOQKMNQPQPMPMPMLLQKNNKPPONO		UI*1
ua nai	attitudinal: \n{ua } - discovery\n{ua nai} - confusion/searching.		cmavo-compound	confusion		MMPPQQPLSNSMROKQMMNMOQPQPQMLSONUSROSOMOONLRQOSKOKPJNKQORKMNPOOMOQONKQPSRQSQPPONMMONSOMKMOQRMOOOQSNONNSMPLMKLSMNJPNKRMOPMMPNOOOLOSOPQKOLOKSMRKRPOQQLNPROKQROMNPMNJRMPOOPPPPNMPQNOPQLQPNRPNSMQRLQQOPKJURPQQOPLNPQMKNNSMLTMOPKOMPNOLLPOMKPNOTPPKLPTQPLSLOHOOSSLNOKOLNKONOJNMQKQQNNSPOTMSKQROMNLQNLSMOPQNMLPOKMNLPPNLQPSPPRTNOOPHOPOKOKMRPNTOOKPNQRNQNMQQSPOOQMUPQRMNPPNNLMMOLOSOPQNQOLNNKPQONNMTOMO		UI*1
uaransis	Varanasi		cmevla	Banaras;Benares;Varanasi		NQKNKPUOPQRLOPQOMPNPQQKQOSRPQMKMQMLOOPQOMQNLRKMMRNLLNROJNMOQPPNOONJNKNMMOOKOPNNJNKORLRONRNQPRPQMQMPTQPNQJPSKOPJPMLKQOPMMMOOOOPNOOMQPNQNMLLNLOOSQRMMOOQPOONROKPRROPPQOMLNNOLRKMQMPNKTLMQNMQPMRMQOOOPPSNMRMPLPNQKNLPRPQRPLLQQRRKOONRINRHLOMONPRNMPUQNKPRNILONOJOPOLPQPQMRQNQROONQPNITOOPVMNLOPQPMPRPOQRNRMMSINNRPOPLPOPOOMOPPQRPROOKJSPPMNOPPMRQOOSUPNOOMKQOMNTNOQQIRQMPPNTMTSNQPQMKNOVTOQQSMOSRMP
uau	{uau} - Attitudinal: impressed/amazed\n{uaucu'i} - unimpressed (neutral)/blasé/bland/commonplace\n{uaunai} - unimpressed (negative)/disappointed/bored	Not necessarily positive (one can be inpressed by/amazed by another's foolishness, ignorance, etc., for example; this feeling of amazement is not quite ironic or sarcastic, but it is a bit wry).	experimental cmavo	amazed;impressed		ONOPOOSQNNUMULLNPJLLRSOPSNLPRPKOTOMQPPOLLLPPQNNPLOKOLOMOMMLOMSTOOOQNPURMORNNQMLSNMNMOMLPNRLONNONQKKSQRLONLNLOKNKPJMSLOONRPORONQOQRRQMOOKLQPSNSNPPOPRORMMOPQQNOQROPJJLQTPONNNPRPMOMPOUSPNQTMNLLNJMNMLORPNPONMJOTMONONNNPPNMPPQMMOQQKTKQTSLPNOLNOORRMTPNPLNPRLMLOPLNNONMJPNPPSQNLJNOMOOQONMMMONLOPMNQSPONRKJLPNQQJMPOKKMQUQQNRMPTOLONMOPNPPJONMOROPVPQQTMLKPMPLNOMOMOPNMPNPOORQKRLPPPPKLPQPPJPWOMO		UI1
uau'o	{uau'o} - Attitudinal: encouragement\n{uau'ocu'i} - (not engaged)\n{uau'onai} - discouragement	Could be screamed at a sporting event in order to cheer on one's team/players/contender.	experimental cmavo	discouragement;encouragement		MOOPPRSORLSMWNNOONMOPPOSPNOPQRLNPRMRORNOKLSMRPNMKMOPQNRQOQNPQOPPJPNQPTPKQSPNTMOPLMOOKNMOPQKPNRKONIJQPTMQPJKLPOMMOMMUKNNORQNPRLOOTPOPLPNLLOPSLOROMPNPOPMOOOPOOQOOLKNJMNQONMOOPSRJMNRNURPJOPJMOJOMMMMNMOOPOMOMPOSLLLNOQORNPNKQPSMOQPOPQOTPOPMKQQNMPSMRTMNMKQSNOMPRMMNQMPHMPNNPOQQINOOMRQOLLLLKPNMTMRPROPOTNOKNLMRMLPONMOOWRPNRNNROLNMMRPRKTLOOOOPORQPSQQLLNONTNNPLOLLTPIPPONPSPOQMONNOMNORNQKOTOPQ		UI
u bu	letteral for u.		bu-letteral	u		LPPQMPTNNNQOONOQNPKKPSQMKSOMRKOQQLPOQMOPMKOSMMPRNRPPMLQNONMMNONQRMMNNMNMKSKOTJSQNKMORPMNNRPLQPMNNLMTQPNSNNPKOOMOMLNMMOWILPIOKGQONSPNMNOOKMQRPTOPQOMORSPQNNPNNPQPLNNNNNPPPOMNSSRRQJPMNLPORQQONORRIKMLQNMQRRPNSNONJQMMRPOJNQJNQSPOPMOSQORRQRNRUNQNVMMOLTLLONPLJNSOMQNQRNNRPQPQQLNKKPNNOLPQNKPQOPRQNNNOLPPQKQPPOMMMJOMPONQNROOOPNNOOMNONNLLRORNNKSPPPMNQTLMMRQNMOPPPIPOSLQRQMOQMRMNNMPOPOPSOQOKSOMM		BY*
uebre	$x_1$ pertains to the world wide web in aspect $x_2$.	See also {ueb}, {kibro}, {kibypapri}, {kibyca'o}.	fu'ivla	the web;world wide web;WWW		QLQOPLOORNWNSOUPOKNOSPPPNPONSPLTNROQOKPPKNQOORLOINMOMPNNLOONPQSPNPMNNONMLROKUNNOMRPOPPKMMNMLRSNMRMPNSPMPOMPQSJMMOJMLONTONPLNQKOOQQOLMPOQLOQPHQQPNROOLQOPOOQSKPPMNQLMNPNMLOLNMOMLPKNQQRQMMQLPPKNMNNONPONQWRKPOQOTLPPMMPSIOOIPNPMOMQLNKMSQNPLNJNOPQMKVQILQRPTOONPMLMLKLLQNRLNTOQKPPMRORLQRMNOPKMOSKOPQMLPQKNKNQPSPOQNLONPSLKKNJPMONNONOQRORQPNJONKOORQTONMQPMQMNONONOPQKOMRNOSQPPPQNONPMPQQOOQUSOQ
ue cu'i	attitudinal: \n{ue } - surprise\n{ue nai} - not really surprised	expectation axis	cmavo-compound	not very surprised		OOQQQOOPTOULQNMLNIMPNQRPSNMPPNPPPNMORMPPMNTROQLOJONOMLOOLKQLJSPMONPMOSPOQQONRPLNNNNPOOKPNPNMMTQROKNQQRNQKKNNOOMJMLLSMPKLQTMPNNROQKPOPOMPNVNROPLPQQLOOROLNSPQNPNOLNJLMORPQOMOQRPMPMMPSRTNPUKPNLOLOOLJPTQPMOMOMPVMPMMPOPROMPOLQONOLTLQLORRNTONMQSPTSPQOOLMPSSLJMIMLPMNNOKNNPNPNPOONQKQOMNONLOOQPMONORORRPQLLLPMQPMPOPMPOSQSROSMRTOMPMNOOMPKMPNONQOOQOOOROILPNULOPINLJOQNTLNLRTOOPNPNONMLRSOOLPSMIL		UI*1
u'i	attitudinal: \n{u'i} - amusement\n{u'inai} - weariness.	See also {selzdi}, {selxajmi}, {xalbo}.	cmavo	amusement		OOOPOQVNNNSNRNMMTPOOPPPRPNLMONLRQNORQNNQLNNOPPMNLSNROONONLMRPQOSMLMNNSQKRSOOOKKNMNPONKKPNPMPNNRNNKNPNSNUMKLNRMMLQKMRLORLURNOOJQOPOPQPPNLLTQQKRPOMNQOMOOOLONNORPOKLKMMPSQOMMRMWRQNPOMRONNQQMNOONLROOLPNORORMNLNQMKOPPQNSNPSONTQLONLLTNMMRMUOOLPQPURLRQNMMMTSLKPLRNMOQNNFMPOPPQOJLMPONSLQPNLOLTOMPOOOOMOMONMGOQRQLLNPNLPOSOPORLMROMNNLQNQPQNNPTSQORRORQTPIKPNSQPQOLNOLOLOLNOSTQMQPQQMOONPMPSKPQNMO		UI1
ui	attitudinal: \n{ui} - happiness\n{uinai} - unhappiness.	See also {gleki}.	cmavo	happiness;sadness		OPNTNQPMSKUMRNOONOMONRMROQOMOPNQRPPOONNNLOONPMMMLOOQLQRQNNORNSONPONLNVNLRQOOUNNQOQMONNKPORMQPQOMONMPPRLQNNJMOJKHQKMRKNPMNPOPNLNOQMOPMPNNLQPQIQONNPMTKRONOQPMMPPPNNMKMQOMMOLPRTQOPNNORMLLPTMPNLNHROKKQOQTQQONMNPMLPNOPNOLORMNRQOOPMJQNOPROVRLORPQRRKSONMPNRTKKNOPJLNNLNGMPONRQROMMQQNRQTOMJMLQNLRLPQONNMNMMJNNPQOKMPOLMSUSQMSJNROMLJKNOQQQSMQLNOOUQSRPQNNMLNRNPSNOLONOMPQQQORONQOONOQNKNNQQLOWPOP		UI1
uidja zei tanbo	$x_1$ is a ouija board	See also {uidja}	zei-lujvo	ouija board		NNPOLLSLVLRQQMMOMOMQNQNNNPNOUKQPLRPPROQLMLPQNSLONJPLPPMLONQNNUSNNNNMPOPONRNPRNOQKMRNNQKQMOPRRSNMPQKRNTONNMQNTKLKNNMMOPNMQOORPJNOPQNLPPOOLQONLQSQMJONPOPPQQPPOPMKLMLNSNNOOLKOOPPONLMNPNPJORPNQNOQNLRMSMMOQOHKMMPSMLOPRPQMKOLOTMNOKPMRPJQSLNKNQPRRQSMONQLPKTVMNPOOPPMNOLNJQQNRKTPSRNRNPKOPONPPRQOSQSNTMOPTJQOQOORNLMMPOMNUMPNPOSQOQLTJONSMNOQPIRQOORONSPPNLNNONNRPROMOMKOLQJNQMNQLMOPPPNNNOQOKTQPM
uegle'i	$x_1$ masturbates, by action/stimuli $x_2$ (property of $x_1$).	x2 can be filled by properties such as «ka satre lo pinji» or «ka catlu lo melbi».	fu'ivla	masturbation;onanism		PKQRLOVOQRTLPRSPQQLSZNPMPOMKSNMROLMQOLNMQMRLRTPNOOLLQRQKNNQRQSQQRKPOLRNLOPNMPMKMLLPPHRNOLRMQNNMLOMQPORMNMJIKNNOLLNSRPOQLQLOLMHMORNQOLNONNPQOMQQMPNPNPSMPMPOJNPRQMOOMNQNNOLLNLNPKPMQNROPPNOKPOJPPMQMJQPLOPMQLMNOUNNNOLOPONNKMPJOOOOMSNNONLONLPPMPPRLPOQQONONNPSNPMPNNQOLNOQSUPNKPNNPNOJQOPLNPPKPRMPQOPOQOOPIOLNNNPNPPPLOSOMJRMPOOKLSORTNQSLNQQOPOUPOQSLPLLQMSPNTOPNNQPKLPQNNTNRQLOPOQKQORPSQOSSNP
ue'inmo	$x_1$ feels excited about $x_2$		fu'ivla	excited		PKTOQLXMTOQLRPRQPLKPNMNOOPNOTOPOPOPQPNPQMKRORQOMOOPONLQRPLPKKTRNNOQMOOPPPNLRSNOPRLMKKPLNKQNLORLOOOFSPUOPLNNSONLJOOLQNRLQPRLMQKPOOMPPLORLKMLQKOMKJNNQMPNTMRPNKQMNOMLLQOQMPMKOOTNLOKPQSSSOPOMONMQLOPOKMPOQRKPNNMPMQJPPTOPKMQMMQOMOQPKQMNRPJPOMLSQOTSQSMPKPNQSONPKPLRLNOPNPPOPSMQQNLROPONQRNMMNPOOPOMOMQPQPISNNMNPNJQOMMQRRLMPSOOQOKOOLQQONOJTOOTQQQQOOORMONPLRMNQMMLNNPMROPONROOSMOQQNNNROLSPSTOON
uenba'u	$x_1$ pronounces $x_2$ (text) as $x_3$ (sound)	See {uenzi}, {bacru}. Also, $x_3$ is the pronunciation of $x_2$ ({te} {uenba'u} for reordered places).	fu'ivla	pronounce		PHPOMPRLTMUPSNPOQNPKPUQPSOMQPQNOPNOQLJRPMMPKNRLOMQRNKRORQMNPOPQOLQNOONQPQRLLTMNPNRPNLRLMOPNMNSLPNQOLOOOONNMOQMMIPMJRJOLMNPJMPNOONSQKQLLOLNRKKLNOORKPMSQPONRPLOMNONKKRQMOOPJQONLLRLQOQSPIPNNNOLWOPLLPRNQQUQQMLNPRLMNOPRQNQLGNOOOOMSONMOQPOOJNOMOQNPNSOHKQMRQNRPKMPQNPMONNPNRQOPLOMLSOQNOSMNONMNQQJQPLQMPSMOLMLMLRPNNQKPQQLPPSONOOPNSMNMQNWOPKMKMPOTOLQPOPMNMPMKONPOQPOKQPOLOSNOSNOPQPOLPUNPNPPRON
uencu	$x_1$ (entity) is a document with content $x_2$ (entity)	material substance (including electronic ones) on which thoughts of persons are represented by any species of conventional mark or symbol. See also {te} {tcidu}, {cukta}, {uenzi}, {papri}, {fa'o}.	fu'ivla	document		OMRRPMSMXOQNSOURQNNPQPOPNPNLRQOPMSPSNLPPKKPNPSNOKOMQOQPQOOMMORTOMQOOOOONPQQMTNOOLTRNOROQLRNPTROORKPOQTMQMKMMMLNLJMNNMONMLPLNOLOOQTNMIQOPLQOQLQPNKPRQKOMPNQPPHOMOONKMMNPNPOPMJPQJOKQOQOPLMQMLPMPNNNLNSLOPRMPLOMOVMLNKPPRNOMMMMPOONOMPOKRPKOLJMOMNMNNUNJPQQQRLPMPNNOQIOLMLOOORNQLNPNNNQKOQLLPPPQNTLOPPLLQPNQNLNLQOROOOQJOSMMMPIRMONNRKMORLRMQNJNPNMLSPTNMKQRORNMOPPTQQTLOPSOKQRPONONQONONQPSOKSQQM
