@rowCount	5743
w	d	n	t
sweetener	[object Object]	(food additive)	n
sweet flag	[object Object]	(a plant)	n
sweet gale	gale#Etymology 3	(Myrica gale)	n
sweetheart	{darling}		n
sweetly	docemente	(in a sweet or pleasant manner)	adv
sweetness	[object Object]	(pleasant disposition)	n
sweet pea	[object Object]	(flowering plant)	n
sweet potato	{yam}		n
sweets	[object Object]	(confectionery, candy)	n
sweet shop	{sweetshop}		n
sweetshop	[object Object]	(shop selling predominantly confectionery)	n
swell	inchar	(to cause to become bigger)	v
swelling	[object Object]	(the state of being swollen)	n
swelter	suar em bicas	(To perspire greatly from heat)	v
swift	[object Object]	(bird)	n
swiftness	quickness	(state of being swift)	n
swig	dar uma golada	(to drink (usually by gulping))	v
swill	[Brazil]: lavagem	(a mixture of solid and liquid food scraps fed to pigs etc; especially kitchen waste for this purpose)	n
swim	nadar	(move through water)	v
swim bladder	[object Object]	(fish organ)	n
swimmer	[object Object]	(one who swims)	n
swimming	[object Object]	(human activity of moving oneself through water)	n
swimming pool	[object Object]	(Pool)	n
swimming trunks	[object Object]	(a pair of shorts or briefs worn for swimming or bathing)	n
swimmist	{swimmer}		n
swimsuit	[object Object]	(tight-fitting garment worn for swimming)	n
swindle	trapacear	(to obtain money or property by fraudulent or deceitful methods)	v
swine	{pig}		n
swine fever	[object Object]	(pathology)	n
swine flu	[object Object]	(influenza caused by orthomyxoviruses)	n
swine influenza	{swine flu}		n
swing	balançar	(to rotate about an off-centre fixed point)	v
swipe	surripiar	(to snatch)	v
Swiss	[object Object]	(Swiss person)	n
Swiss Army knife	[object Object]	(type of pocket knife)	n
Swiss cheese	[object Object]	(cheese with holes)	n
Swiss franc	[object Object]	(currency of Switzerland)	n
switch	vergastar, açoitar	(To hit with a switch (rod))	v
switch off	desligar	(turn switch to off position)	v
switch on	ligar	(to turn a switch to the "on" position)	v
Switzerland	[object Object]	(sovereign country)	prop
swoon	desmaiar	(to faint)	v
sword	[object Object]	(weapon)	n
swordfish	[object Object]	(Xiphias gladius)	n
sword of Damocles	[object Object]	(thing or situation which causes a prolonged state of impending doom or misfortune)	n
swordsman	[object Object]	(a person who fights with a sword)	n
Sybaris	[object Object]	(city)	prop
sybarite	[object Object]	(person devoted to pleasure and luxury)	n
Sybarite	[object Object]	(native or inhabitant of Sybaris)	n
Sybil	Sibyl	(female given name)	prop
sycamore	{sycamore maple}		n
sycamore maple	[object Object]	(Acer pseudoplatanus)	n
sycophant	[object Object]	(one who uses compliments to gain self-serving favor or advantage from another person.)	n
Sydney	[object Object]	(male given name)	prop
syllabary	[object Object]	(table)	n
syllabize	{syllabify}		v
syllable	[object Object]	(One or more vowel sounds)	n
syllabus	[object Object]	(a summary of topic)	n
syllogism	[object Object]	(inference from premises)	n
sylph	[object Object]	(The elemental being of air)	n
Sylt	[object Object]	(German island)	prop
Sylvester	[object Object]	(male given name)	prop
symbol	{symbolize}		v
symbolic	simbólico	(Referring to something with an implicit meaning)	adj
symbolically	simbolicamente	(in a symbolic manner)	adv
symbolism	[object Object]	(representation of a concept)	n
symbolize	simbolizar	(To be symbolic of; to represent)	v
symmetric	{symmetrical}		adj
symmetrical	simétrico	(exhibiting symmetry)	adj
symmetry	[object Object]	(satisfying arrangement of a balanced distribution of the elements of a whole)	n
sympathetic	[object Object]	(of, related to, showing, or characterized by sympathy)	adj
sympathetic nervous system	[object Object]	(sympathetic nervous system)	n
sympathizer	[object Object]	(who sympathizes)	adj
sympathy	[object Object]	(mutual relationship)	n
symphony	[object Object]	(piece of orchestral music)	n
symposium	[object Object]	(conference)	n
symptom	[object Object]	(indicators and characteristics of the presence of something else)	n
symptomatic	sintomático	(showing symptoms)	adj
synagogue	[object Object]	(place)	n
synapse	[object Object]	(junction between neurons)	n
sync	{synchronize}		v
synchronisation	{synchronization}		n
synchronised swimming	nado sincronizado, natação sincronizada	(swimming event)	n
synchronize	sincronizar	(cause two events to have coordinated timing)	v
synclinal	sinclínio	(synclinal fold)	n
syncline	synclinal	(concave upward fold)	n
syncope	[object Object]	(loss of consciousness)	n
syndrome	[object Object]	(recognizable pattern of symptoms or behaviours)	n
synecdoche	[object Object]	(figure of speech that uses the name of a part of something to represent the whole)	n
synergy	[object Object]	(behavior of a system that cannot be predicted by the behavior of its parts)	n
synonym	sinónimo [Portugal], sinônimo [Brazil]	(word with same meaning as another)	n
synonymous	sinônimo	(genetics: with both forms yielding the same protein)	adj
synopsis	[object Object]	(a brief summary)	n
synoptic	sinótico		adj
syntactic	[object Object]	(of, related to or connected with syntax)	adj
syntagma	[object Object]	(syntactic string of words)	n
syntagmatarchy	syntagma	(square formation of 256 soldiers)	n
syntax	[object Object]	(study of the structure of phrases and sentences)	n
syntaxis	{syntax}		n
synthesis	[object Object]	(philosophy: combination of thesis and antithesis)	n
synthesizer	[object Object]	(music: an electronic keyboard instrument)	n
synthetic	sintético	(Of, or relating to synthesis)	adj
syphilis	[object Object]	(sexual disease caused by Treponema pallidum)	n
Syracuse	[object Object]	(province Sicily)	prop
Syria	Síria	(country in the Middle East)	prop
Syriac	[object Object]	(language)	prop
Syrian	[object Object]	(A person from Syria or of Syrian descent)	n
Syrian Arab Republic	[object Object]	(Official name of Syria)	prop
syringe	[object Object]	(hypodermic syringe)	n
syrinx	{panpipes}		n
syrup	[object Object]	(liquid)	n
system	sistema	((medicine) body organs contributing to a vegetative function)	n
systematic	sistemático	(of, relating to, or being a system)	adj
systematics	[object Object]	(the science of systematic classification of organisms)	n
systematization	[object Object]	(act of systematizing)	n
systemic	sistêmico	(pertaining to an entire organism)	adj
systems engineering	[object Object]	(interdisciplinary field of engineering)	n
systole	[object Object]	(contraction of the heart)	n
systolic	sistólico	(of or relating to systole)	adj
syzygy	[object Object]	(astronomical conjunction)	n
Szczecin	[object Object]	(city in Poland)	prop
Szeged	[object Object]	(city in Hungary)	prop
ta	{thanks}		interj
tab	{tablature}		n
tabernacle	[object Object]	(small ornamented cupboard or box used for the sacrament of the Eucharist)	n
tablature	[object Object]	(form of musical notation)	n
table	tabular	(to tabulate)	v
tablecloth	[object Object]	(a cloth used to cover and protect a table, especially for a dining table)	n
table football	{foosball}		n
table of contents	[object Object]	(organized list summarizing book of document)	n
tablespoon	[object Object]	(a unit of measure)	n
tablespoonful	tablespoon	(measure of volume)	n
tablet	{tablet computer}		n
tablet computer	[object Object]	(a type of computer)	n
table tennis	[object Object]	(game similar to tennis)	n
taboo	[object Object]	(inhibition or ban)	n
tabula rasa	[object Object]	(the idea that the mind comes into the world as a blank state)	n
tachometer	speedometer	(device for measuring velocity)	n
tachygraphy	[object Object]	(the art and practice of rapid writing)	n
tachyon	[object Object]		n
tacit	indutivo	(Not derived from formal principles of reasoning)	adj
taciturn	taciturno	(untalkative, silent)	adj
taciturnous	{taciturn}		adj
tack	{thumbtack}		n
tackle	derrubar	(to face or deal with attempting to overcome or fight down)	v
tacky	pegajoso, grudento	(slightly sticky)	adj
tact	[object Object]	(careful consideration in dealing with others to avoid giving offense)	n
tactic	[object Object]	(action to achieve some end)	n
tactile	tátil	(tangible)	adj
tactless	seco	(without tact)	adj
tadpole	[object Object]	(toad or frog larva)	n
tag	etiqueta	(small label)	n
Tagalog	[object Object]	(language)	prop
Tagus	Tejo	(Iberian river)	prop
tahini	tahine	(sesame paste)	n
Tahitian	[object Object]	(language)	prop
Taibei	{Taipei}		prop
Taichung	Taichung	(a large city in Taiwan)	prop
taiga	taiga	(subarctic zone of coniferous forest)	n
tail	seguir	(to tail)	v
tailboard	{tailgate}		n
tailbone	[object Object]	((informal) final fused vertebrae)	n
tailless	acaudado	(without a tail)	adj
tailor	[object Object]	(person who makes, repairs, or alters clothing as profession)	n
tailpipe	[object Object]	(exhaust pipe)	n
tails	{tailcoat}		n
Taimyr	[object Object]	(a large peninsula in the Russian North)	prop
Tainan	[object Object]	(a city in Taiwan)	prop
Taino	[object Object]	(person)	prop
taint	contaminar, corromper, infectar, macular	(To contaminate or corrupt something with an external agent, either physically or morally)	v
Taipei	[object Object]	(Taipei)	prop
Taishanese	{Hoisanese}		adj
Taiwan	[object Object]	(East Asian island)	prop
Taiwanese	[object Object]	(language)	prop
Taiwan Strait	[object Object]	(the channel of water between mainland China and Taiwan)	prop
Taizhong	{Taichung}		prop
Tajik	tadjique	(language)	prop
Tajiki	Tajik	(dialect of Persian)	prop
Tajikistan	[object Object]	(Republic of Tajikistan)	prop
tajine	tajine	(Moroccan stew)	n
Taj Mahal	[object Object]	(Monument in India)	prop
taka	[object Object]	(national currency of Bangladesh)	n
take	aguentar	(to support or carry without failing or breaking)	v
take advantage	tirar proveito, aproveitar	(profit from a situation)	v
take advantage of	tirar vantagem de, explorar	(exploit)	v
take after	se parece	(to resemble in appearance or habit)	v
take a look	dar uma olhada	(to examine or observe)	v
take apart	{disassemble}		v
take away	tirar, tirar fora, retirar	(to subtract or diminish something)	v
take back	levar de volta	(to return something)	v
take care	cuidar de	(to be in charge of something)	v
take care of	cuidar de	(kill)	v
take for granted	aceitar suposição	(assume something to be true without verification or proof)	v
take-home pay	[object Object]	(net earnings of a wage earner)	n
take ill	take sick	(to become ill)	v
take into account	levar em conta	(to consider or regard; to include)	v
take off	tirar	(to remove)	v
takeoff	[object Object]	(start of flight)	n
take one's leave	{depart}		v
take one's own life	{commit suicide}		v
take part	participar, ter parte, tomar parte	(share or partake)	v
take place	acontecer, ocorrer, haver	(to happen)	v
take the bull by the horns	encarar de frente	(to deal directly with a matter; to confront a difficulty)	v
take the liberty	tomar a liberdade	((idiomatic) to act on one's own authority)	v
taking it up the ass	{anal sex}		n
tale	[object Object]	(type of story)	n
talent	[object Object]	(unit of weight and money)	n
talented	talentoso	(endowed with talents)	adj
Taliban	[object Object]	(Islamic student movement)	prop
talisman	[object Object]	(magical protective charms)	n
talk	discuss	((transitive) to discuss)	v
talk around	{persuade}		v
talkative	falador, conversador, tagarela	(tending to talk or speak freely or often)	adj
talkativeness	[object Object]	(the state of being talkative)	n
talking book	{audiobook}		n
talk over	{persuade}		v
talks	{talk}		n
talk shop	falar de negócios/negócio	(discuss one's work)	v
tall	exagerado	(of a story)	adj
Tallinn	Tallinn	(Capital of Estonia)	prop
tallow	sebo	(hard animal fat obtained)	n
tally	{tally shop}		n
talon	[object Object]	(hooked claw)	n
tamandua	tamanduá-mirim	(anteater of the genus Tamandua)	n
Tamara	[object Object]	(female given name)	prop
tamaraw	tamarao	(Bubalus mindorensis)	n
tamarind	[object Object]	(tropical tree)	n
tamarisk	[object Object]	(shrub of the genus Tamarix)	n
tambour	{drum}		n
tambourine	[object Object]	(percussion instrument)	n
Tambov	[object Object]	(a city in Russia)	prop
tame	domar	(to make something tame)	v
tamer	domador	(one who tames or subdues)	n
Tamil	[object Object]	(language)	prop
Tamilian	Tamil	(a person of Tamil ethnicity)	n
Tamil Nadu	[object Object]	(state in southern India)	prop
Tamil Tigers	[object Object]	(guerrilla organization)	prop
tamper	adulterar	(alter by making unauthorized changes)	v
tampon	[object Object]	(A plug of cotton or other absorbent material)	n
tan	curtir	(to turn animal hide into leather)	v
tanager	saíra, saí	(American passerine birds)	n
Tanakh	[object Object]	(body of Jewish scripture)	prop
tandem	[object Object]	(bicycle)	n
tandoor	[object Object]	(cylindrical clay oven)	n
