@rowCount	5744
w	d	n	t
incidental	incidental	(existing as an accident)	adj
incinerate	incinerar	(destroy by burning)	v
incipient	incipiente	(beginning, starting)	adj
incision	[object Object]	(cut)	n
incisor	[object Object]	(tooth)	n
incite	incitar, provocar	(to rouse, stir up or excite)	v
inclinometer	clinometer	(instrument)	n
include	incluir	(to contain, as part of a whole)	v
inclusion	[object Object]	(addition or annex to a group, set or total)	n
incognito	incógnito	(Without being known; in disguise; in an assumed character, or under an assumed title)	adj
in cold blood	a sangue frio	(in a ruthless and unfeeling manner)	adv
income	[object Object]	(Money one earns by working or by capitalising on the work of others)	n
income statement	[object Object]	(financial statement of net income)	n
income tax	[object Object]	(tax levied on income)	n
incomparable	[object Object]	(beyond comparison)	adj
incompatibility	[object Object]	(the quality or state of being incompatible)	n
incompatible	incompatível	(impossible to coexist; irreconcilable)	adj
incomplete	incompleto	(not complete)	adj
incompletely	incompletamente	(in an incomplete manner)	adv
incomprehensible	incompreensível	(impossible or very difficult to understand)	adj
inconceivable	inconcebível	(unable to be conceived, unbelievable)	adj
inconducive	{unconducive}		adj
incongruous	incongruente	(not matching)	adj
inconsistency	[object Object]	(state of being inconsistent)	n
inconsistent	inconsistente	(not consistent)	adj
incontinence diaper	incontinence pad	(impenetrable sheet)	n
incontrovertibly	indiscutivelmente	(in incontrovertible manner)	adv
inconvenience	[object Object]	(something inconvenient or bothering)	n
inconvenient	inconveniente	(not convenient)	adj
incorporeal	[object Object]	(having no material form or physical substance)	adj
incorrect	incorreto	(erroneous)	adj
incorrectly	incorretamente	(in an incorrect manner)	adv
incorrigible	{unmanageable}		adj
increase	aumentar, progredir	(make larger)	v
incredible	inacreditável, incrível	(too implausible to be credible)	adj
incredulousness	{incredulity}		n
incriminate	incriminar	(to indicate the guilt of)	v
incruental	{bloodless}		adj
incubator	[object Object]	(apparatus used to maintain environmental conditions suitable for a newborn baby)	n
incubus	íncubo	(an evil spirit)	n
incumbent	[object Object]	(current holder of an office)	n
incumbrance	encumbrance	(interest, right, burden or liability)	n
incunable	[object Object]	(very early printed book, specifically one printed before 1501; an incunabulum)	n
incurable	incurável	(unable to be cured)	adj
incus	thunderhead	(accessory cloud in the shape of an anvil)	n
indebted	endividado	(obligated to someone)	adj
indecision	[object Object]	(inability to decide on a course of action)	n
indecisive	indeciso	(not decisive)	adj
indecisiveness	indecision	(condition of being indecisive)	n
indeed	de fato, sem dúvida	(indication of agreement)	interj
indefatigable	infatigável	(extremely persistent and untiring)	adj
indefinite article	[object Object]	(word preceding a noun to indicate any member of the class of objects)	n
indefinite integral	integral indefinida	(antiderivative)	n
indefinite pronoun	[object Object]	(Pronoun not specifying the identity of its referent)	n
indelible	indelével, inesquecível	(incapable of being canceled or forgotten)	adj
indemnify	proteger, assegurar	(To save harmless; to secure against loss or damage; to insure)	v
indemnity	[object Object]	(repayment)	n
independence	[object Object]	(state or quality of being independent)	n
independent	independente	(not dependent; not contingent or depending on something else; free)	adj
independent clause	main clause	(grammar: clause that can stand alone)	n
independently	independentemente	(in an independent manner)	adv
independent variable	variável independente	(independent variable)	n
in depth	in-depth	(thorough, comprehensive)	adj
indescribable	indescritível	(impossible, or very difficult to describe)	adj
indestructible	indestrutível	(not destructible)	adj
in detail	em detalhes, detalhadamente	(with all particulars)	adv
indeterminable	imensurável	(incapable of being measured)	adj
index	inventory	(to take stock)	v
index finger	{forefinger}		n
India	[object Object]	(the country)	prop
Indian	[object Object]	(individual of, or related to, the aboriginal people of the Americas)	n
Indianapolis	[object Object]	(capital of the State of Indiana, USA)	prop
Indian English	inglês indiano	(Indian dialect of English)	prop
Indian fig	{prickly pear}		n
Indianism	[object Object]	(idealized portrayal)	n
Indian Ocean	[object Object]	(the ocean separating Africa, southern Asia, Australia and Antarctica)	prop
Indic	Indo-Aryan	(the Indic language group)	prop
indicate	indicar	(to point out; to discover; to direct to a knowledge of; to show; to make known)	v
indicative mood	modo indicativo	(indicative mood)	n
Indies	{West Indies}		prop
indifference	[object Object]	(the state of being indifferent)	n
indifferent	indiferente	(not caring)	adj
indigence	[object Object]	(poverty)	n
indigenity	{indigenousness}		n
indigenous	nato	(innate, inborn)	adj
indigestion	[object Object]	(condition caused by eating too quickly)	n
indign	{unworthy}		adj
indignant	indignado	(angry, infuriated, mad, resentful)	adj
indignation	[object Object]	(self righteous anger or disgust)	n
indigo	[object Object]	(dye)	n
indirect	indireto	(not direct)	adj
indirect speech	{reported speech}		n
indiscreet	indiscreto, imprudente	(not discreet; wanting in discretion)	adj
indistinct	indistinto	(not clearly defined)	adj
indistinctly	indistintamente	(in an indistinct manner)	adv
indistinguishable	indistinguível	(not distinguishable)	adj
indium	[object Object]	(metallic chemical element)	n
individual	indivíduo	(person considered alone)	n
individuality	{person}		n
indivisible	indivisível	(incapable of being divided)	adj
Indochina	[object Object]	(region in Southeast Asia)	prop
indoctrinate	doutrinar, endoutrinar	(to teach with a biased or one-sided ideology)	v
indoctrination	doutrinação	(act of indoctrinating)	n
Indo-European	indoeuropeu	(of or relating to languages originally spoken in Europe and Western Asia)	adj
Indo-European studies	[object Object]	(Indo-European studies)	n
Indonesia	[object Object]	(country)	prop
Indonesian	[object Object]	(language)	prop
Indra	[object Object]	(Hindu god)	prop
induce	induzir	(to cause; persuade; force)	v
inductance	[object Object]	(property)	n
induration	hardening	(process of becoming hard)	n
industrial	industrial	(of or relating to industry)	adj
industrial espionage	[object Object]	(use of clandestine methods to acquire secret information for commercial advantage)	n
industrialised	{industrialized}		adj
industrialize	industrializar	(to develop industry)	v
Industrial Revolution	[object Object]	( major technological change in the late 18th and early 19th century)	prop
industrious	industrioso, trabalhador, esforçado, laborioso, diligente	(hard-working and persistent)	adj
industry	[object Object]	(tendency to work persistently)	n
Indus Valley Civilization	[object Object]	(ancient civilization)	prop
inedible	incomestível	(not edible; not appropriate, worthy, or safe to eat)	adj
I need ...	preciso de ...	(I need ... (something))	phrase
I need a battery	eu preciso de uma bateria, preciso de uma bateria	(I need a battery)	phrase
I need a condom	preciso de uma camisinha, eu preciso de uma camisinha	(I need a condom)	phrase
I need a dictionary	preciso de um dicionário, eu preciso de um dicionário	(I need a dictionary)	phrase
I need a doctor	eu preciso de um médico, preciso de um médico	(request for a doctor)	phrase
I need a drink	preciso de uma bebida	(I need a drink (non-alcoholic))	phrase
I need a guide	eu preciso de um guia, preciso de um guia	(I need a guide (a written guide))	phrase
I need a lawyer	preciso de um advogado, eu preciso de um advogado	(I need a lawyer)	phrase
I need an interpreter	eu preciso de um intérprete, preciso de um intérprete	(I need an interpreter)	phrase
I need a pen	(eu) preciso de uma caneta	(I need a pen)	phrase
I need a taxi	eu preciso de um táxi, preciso de um táxi	(I need a taxi)	phrase
I need a towel	preciso de uma toalha, eu preciso de uma toalha	(I need a towel)	phrase
I need food	eu preciso de comida, preciso de comida	(I need food)	phrase
I need gas	preciso de gasolina	(I need gasoline)	phrase
I need money	(eu) preciso de dinheiro	(I need money)	phrase
I need petrol	I need gasoline	(I need petrol)	phrase
I need shampoo	preciso de xampu, eu preciso de xampu	(I need shampoo)	phrase
I need shelter	preciso de um abrigo	(I need shelter)	phrase
I need water	eu preciso de água, preciso de água	(I need water)	phrase
I need your help	preciso de tua ajuda, preciso de sua ajuda	(I need your help)	phrase
ineffable	[object Object]	(beyond expression)	adj
in effigy	em efígie	(symbolizing)	adj
ineluctably	{inescapable}		adv
inept	inapto, incapaz, incompetente	(not able to do something)	adj
inequality	desigualdade	(unfair, not equal, state)	n
inequation	inequality	(a statement that two expressions are not the same)	n
inert	inerte	(unable to move or act)	adj
inert gas	{noble gas}		n
inertia	inércia	(unwillingness to take action)	n
in essence	em essência	(essentially)	adv
inessive	[object Object]	(inessive case)	n
inessive case	inessive	(case used to indicate location inside something)	n
inevitable	inevitável	(impossible to avoid or prevent)	adj
inevitably	inevitavelmente	(in a manner that this impossible to avoid)	adv
inexistent	{nonexistent}		adj
inexpensive	[object Object]	(low in price)	adj
inexperienced	inexperiente	(not experienced)	adj
inexplicable	inexplicável	(impossible to explain)	adj
inexplicably	inexplicavelmente	(in an inexplicable manner)	adv
Inez	[object Object]	(female given name)	prop
in fact	na verdade	(actually, in truth)	adv
infallible	infalível	(without fault or weakness; incapable of error or fallacy)	adj
infallibly	infalivelmente	(in an infallible manner)	adv
infamous	[object Object]	(having a bad reputation)	adj
infamously	infamemente	(in an infamous manner)	adv
infamy	[object Object]	(the state of being infamous)	n
infant	[object Object]	(very young human being)	n
infanteer	infantryman	(soldier)	n
infanticide	[object Object]	(the murder of one's child)	n
infantry	[object Object]	(the part of an army consisting of infantry soldiers)	n
infarct	infarto, enfarte	(area of dead tissue)	n
infarction	{infarct}		n
infect	contagiar	(to make somebody enthusiastic about one's own passion)	v
infection	[object Object]	(uncontrolled growth of harmful microorganisms in a host)	n
infectious	infeccioso	(transmitted between persons as illness)	adj
infectiousness	[object Object]	(state or condition of being infectious)	n
inferior	[object Object]	(of lower quality)	adj
inferiority complex	[object Object]	(a sense of inferiority)	n
inferior nasal concha	[object Object]	(The largest of the three nasal concha located within the nasal cavity)	n
inferno	[object Object]	(large fire)	n
inferrable	{inferable}		adj
infertile	infértil	(not fertile)	adj
infertility	[object Object]	(inability to conceive - people and animals)	n
infidel	[object Object]	(non-believer)	n
infidelity	infidelidade	(unfaithfulness in marriage or other moral obligation)	n
infinite	[object Object]	(number larger than any given number)	adj
infinitely	infinitamente	(endlessly)	adv
infinitive	[object Object]	(uninflected verb form)	n
infinity	[object Object]	(endlessness, unlimitedness, absence of end or limit)	n
infix	[object Object]	(morpheme inserted into word)	n
inflame	inflamar	(to put in a state of inflammation)	v
inflammable	inflamável	(capable of burning)	adj
inflammation	[object Object]	(medical condition)	n
inflammatory	inflamatório	(causing or caused by inflammation)	adj
inflatable	inflável	(able to be inflated)	adj
inflate	inchar, inflar	(to enlarge the volume occupied by an object)	v
inflation	inflação	(increase in prices)	n
inflect	variar, flexionar	(grammar)	v
inflection	[object Object]	(turning away from a straight course)	n
inflexibility	[object Object]	(quality of being inflexible)	n
inflexible	inflexível	(stiff, rigid)	adj
inflexibly	inflexivelmente	(in an inflexible manner)	adv
inflorescence	[object Object]	(flower cluster)	n
influence	influenciar	(transitive: to exert an influence upon)	v
influential	influente	(having considerable influence)	adj
influenza	[object Object]	(an acute contagious disease of the upper airways and lungs)	n
info	{information}		n
in for a penny, in for a pound	perdido por cem, perdido por mil, perdido por um, perdido por mil	(Expressing recognition that one must, having started something, see it through to its end, rather than stopping short thereof)	proverb
inform	informar	(to impart information or knowledge (intransitive))	v
informal	[object Object]	(not formal or ceremonious)	adj
informality	[object Object]	(condition of being informal)	n
informant	[object Object]	(one who relays confidential information)	n
informatics	[object Object]	(branch of information science)	n
information	[object Object]	(communicable knowledge)	n
information technology	[object Object]	(the practice of creating and/or studying computer systems and applications)	n
informed	informado	(Instructed)	adj
infowar	{information warfare}		n
infrared	infravermelho	(infrared radiation)	n
infrastructure	[object Object]	(underlying base or foundation especially for an organization or system)	n
