@rowCount	12099
ekscesa	excessive, inordinate, immoderate, too much
ekscese	excessively
eksceso	excess
ekscii	to get to know, find out, learn, realize
ekscita	exciting
ekscitacxo	ballyhoo
eksciteco	excitement
eksciti	to agitate, arouse, excite, rouse, stir, stir up
ekscitigxeta	shivery
ekscitigxeto	frisson, shiver
ekscitigxi	to become excited
ekscitigxo	agitation, excitement
ekscitilo	exciter
ekscitita	agitated
ekscititeco	agitation, excitement
ekscito	excitation, excitement
eksdata	stale
eksdosiero	backup file
eksedzigi	to divorce
eksedzigo	divorce
eksedzigxi	to get a divorce, get divorced
eksedzigxinta	divorced
eksedzigxo	divorce (judicial)
eksedzinigxi	to get a divorce
eksedzinigxinta	divorced
eksedzinigxo	divorce
eksedzino	ex-wife
eksedzo	ex-husband
eksekvi	to begin to follow
eksenti	to begin to think, start to think
eksento	emotion
ekshibicii	to exhibit
ekshibicio	exhibitionism
ekshibiciulo	exhibitionist
eksidi	to sit down
eksiga signo	CAN, cancel (signal)
eksigeco	exclusion
eksigi	to discharge, dismiss, fire, sack, exclude, recall, prevent
eksigii	to fire (discharge)
eksigo	dismissal, removal
eksigu	exclude
eksigxdato	purge date
eksigxi	to quit, resign, withdraw from office, retire
eksigxo	renunciation, resignation
eksjugxisto	former judge
eksjxurnalisto	former newspaperman
eksklavo	exclave
ekskludi	to bar, exclude
ekskludo	ban, bar
ekskluziva	exclusive
ekskluziva aux-operacio	exclusive-or operation
ekskluziva disjunkcio	exclusive disjunction
ekskluzive	exclusively
ekskluzivema	exclusivist
ekskluzivenda	to be excluded
ekskluzivi	to exclude
ekskluzivigo	exclusion
ekskluzivo	exclusion
ekskolonio	ex-colony
ekskomentariigi	uncomment
ekskomuniki	to excommunicate
ekskomuniko	anathema, ban, excommunication
ekskoriacii	to abrade
ekskoriacio	abrasion, excoriation, graze, scratch
ekskorii	to abrade
ekskreci	to excrete
ekskrecia	excretal
ekskrecii	to excrete, secrete
ekskrecio	excretion
ekskrementa	excremental
ekskremento	excrement
ekskrementoj	excrement
ekskui	to jerk, jolt, shake
ekskuo	jerk
ekskursafisxo	poster about an excursion
ekskursi	to go on an excursion
ekskurso	excursion, outing, trip
ekskuzi	to excuse
ekskuzi sin	to apologize
ekskuzo	apology
ekslernanto	alumnus
ekslibriso	ex libris
ekslogxejo	former place of residence
ekslojaligxi	to defect
ekslojaligxinto	defector
ekslojaligxo	defection
eksmembrigxi	to withdraw one’s name, withdraw one’s subscription
eksmilitisto	veteran
eksmoda	old-fashioned, out of date
eksmodigxinta	out of style
eksoficiro	ex-officer
eksoni	to resound, become audible
eksp	exp
ekspansia	expansive
ekspansie	expansively
ekspansii	to expand
ekspansiismo	expansionism
ekspansiita	expanded (font)
ekspansio	expansion
ekspansionismo	expansionism
ekspastrigi	to defrock, unfrock
ekspeda servo	parcels delivery, parcels service
ekspedajxo	consignment
ekspeddato	shipping date
ekspedi	to dispatch, send off, ship, expedite, forward, dispatch
ekspedicio	expedition
ekspedinto	sender
ekspedisto	shipper
ekspedo	dispatch
ekspekto	expectation (of a random variable)
eksperimenta	experimental
eksperimentado	experimentation
eksperimente	as an experiment, experimentally
eksperimentgxardeno	botanical garden
eksperimenti	to experiment
eksperimento	experiment
eksperta	expert
eksperta sistemo	expert system
eksperte	expertly
ekspertisto	expert
ekspertizado	appraisal
ekspertizi	to appraise, assess, survey, value (as an expert)
ekspertizisto	appraiser
ekspertizo	assessment, expertise
eksperto	expert, specialist
eksplicita	explicit
eksplicite	explicitly
ekspliciteco	explicitness
ekspliki	to account for, explain, explicate
ekspliko	account, explanation
eksploda	explosive
eksploda substanco	explosive
eksplodajxo	explosive (substance)
eksplodbrui	to blast
eksplodbruo	detonation
eksplodema	volatile, explosive
eksplodi	to explode, blow up
eksplodigi	to blow up
eksplodigilo	detonator
eksplodilo	explosive device
eksplodkonsonanto	plosive
eksplodmotoro	internal combustion engine
eksplodo	explosion
eksplodsono	report (of gun, etc.)
ekspluatado	exploitation
ekspluatanto	exploiter
ekspluati	to exploit, leverage, take advantage of, utilize, work
ekspluatilo	exploit, flaw
ekspluatisto	exploiter
ekspon-butono	shutter release button
ekspon-dauxro	shutter speed
ekspon-ekvilibrigo	exposure adjustment
ekspon-skalo	exposure scale
ekspona tempo	exposure time
eksponado	exposure
eksponanto	exhibitor
eksponbutono	shutter release button
ekspondauxro	exhibition length
ekspondeklami	to hawk, hype
eksponejo	show-room
eksponekvilibrigo	exposure adjustment
eksponenciala	exponential
eksponenciale	exponentially
eksponencialo	exponential
eksponenta funkcio	exponential function
eksponento	exponent
eksponi	to demonstrate, exhibit, expose, showcase, display
eksponisto	stallholder
eksponmezurilo	exposure meter
ekspono	exposure
eksponometro	exposure meter
eksponometro-difuzilo	diffuser
eksponometrodifuzilo	diffuser
eksponplato	baseboard
eksponskalo	exposure scale
eksportado	exportation
eksportajxo	export
eksportebla	exportable
eksporti	to export
eksportisto	exporter
eksportmonopolo	export monopoly
eksporto	export, exportation
eksportodosierformo	export format
eksposxisto	ex-postman
ekspozi	to exhibit, put on display
ekspoziciajxo	exhibit, show
ekspoziciejo	presentation room, exhibition hall
ekspozicii	to exhibit
ekspozicio	exhibition, exposition
ekspresa	express
ekspresa frajtajxo	express freight
ekspresi	to express
ekspresionisma	expressionistic
ekspresionismo	Expressionism
ekspresionisto	Expressionist
ekspreso	express (train, messenger), special delivery
eksprezidanto	ex-president
eksproprietigi	to expropriate
ekssklavo	ex-slave
ekssoldato	ex-soldier
eksstudentino	alumna
eksstudento	former student
ekstari	to get up, rise, stand, stand up
ekstaza	ecstatic
ekstazi	to be ecstatic
ekstazio	ecstasy
ekstazo	ecstasy, rapture, delight
ekstemporalo	test paper, unprepared composition
ekster	aside from, apart from, out, outside (of), beyond
ekster si de eksciteo	beside oneself with excitement
ekster via scio	beyond your knowledge
ekstera	external, outer, outside
ekstera interrompo	external interrupt
ekstera liveranto	third party, third-party
ekstera memorilo	external memory
ekstera memoro	external memory
ekstera mondo	outer world, external world
ekstera operacio	external composition law
ekstera ordigo	external sort
ekstera produto	exterior product, cross product, vector product
eksterajxo	exterior, outer part
eksterdangxera	out of danger
eksterdome	outside (the home), outdoors
eksterduba	definite, outright, undoubted, unmistakable, unquestionable
eksterdube	undoubtedly
ekstere	abroad, out, outside
eksteredzeca	out of wedlock, outside of marriage, illegitimate (of a child)
eksteredzeca infano	illegitimate child
eksterejo	outdoors
eksteren	out, outside, outward
eksteren sendi	to export
eksteretata	complementary, extraordinary, supplementary, additional
ekstereuxropano	non-European (person)
ekstergeedzigxa	illegitimate
eksterhavene	off the harbor
eksterigxi	to get off, get out
eksterlanda	alien, foreign
eksterlandanino	foreigner, foreign lady, foreign woman
eksterlandano	foreigner
eksterlande	abroad
eksterlanden	abroad
eksterlando	abroad, foreign country
eksterlegxulo	outlaw, criminal
eksterloka	position-independent
ekstermi	to exterminate, wipe out
ekstermigxi	to become exterminated
ekstermino	extermination
ekstermo	annihilation
ekstermovada	outside of the movement
eksternatura	unnatural
eksternature	unnaturally
eksternorma	abnormal
eksternormajxo	abnormality
eksternorme	abnormally
ekstero	exterior
eksterorda	extraordinary
eksterorde	extraordinarily
eksterordinara	extraordinary, formidable, out of the ordinary
eksterordinara dividendo	bonus
eksterordinare	exceedingly, extraordinarily
eksterordinarega	extraordinary
eksterpartia	neutral, independent, impartial
eksterpoli	to extrapolate
eksterregula	irregular
eksterregule	irregularly
eksterreta	offline (off the web)
eksterreto	extranet
ekstersezona	out of season
ekstersunsistema planedo	exoplanet
ekstersxtatano	alien
ekstertera	alien, extraterrestrial
eksterterano	alien
eksterterulo	alien, extraterrestrial
eksterulo	outsider
ekstervarieja	out of range
ekstervoje	off the road
ekstra	additional, extra, spare
ekstra laboro	overtime, additional work hours
ekstradi	to extradite
ekstradicia	extradition
ekstradicii	to extradite
ekstradicio	extradition
ekstrajxo	accessory, extra
ekstraktado	abstraction, extraction
ekstrakti	to extract
ekstrakto	extract
ekstrapoli	to extrapolate
ekstravaganca	extravagant, high-flown
ekstravaganci	to act in an extravagant manner
ekstravaganco	extravagance
ekstravaganculo	oddball, weirdo
ekstravertita	extroverted
ekstravertito	extrovert
ekstrema	extreme, utmost
Ekstrema Oriento	the Far East
ekstremajxo	end, tip, extremity
ekstremdekstra	far right
ekstreme	extremely
ekstremeco	extremity
ekstrementbulo	piece of droppings
ekstremisma	extremist
ekstremismo	extremism
ekstremisto	extremist
ekstremmaldekstra	far left
ekstremo	extreme
ekstremofilo	extremophile
ekstremoriento	far east
ekstremumiganto	position of an extremum
ekstremumo	extreme value, extremum
ekstrulo	supernumerary
ekstudentigxi	to finish studying, graduate
eksudajxo	exsudate
eksudi	to exude
eksudo	exudation
eksuferi	to begin to suffer
eksvalida	invalid
eksvalidigxi	to expire, invalid
eksvalidigxo	expiry
eksvirkato	neutered cat
eksxangxigxema	volatile
eksxuldi	to incur
ektagigxo	sunrise
ektedi	to begin to tire, start to bore
ekteni	to clutch, grapple
ekteno	grasp
ektimegi	to begin to panic, start to panic
ektimi	to begin to fear
ektimigita	startled
ektiminta	startled
ektimo	alarm
ektiregi	to wrench
ektiri	to jerk, pull, tug
ektiro	yank
ektondro	thunderclap
ektopio	ectopia
ektoplasmo	ectoplasm
ektrancxi	to cut into
ektremi	to start, startle
ektremigi	to begin to scare, start to frighten
ektropio	ectropion
ektusxegi	to hit against, run against
ektusxi	to touch upon
ektusxmaniero	touch
ektusxo	brush
ekumena	ecumenic(al)
ekumena koncilio	ecumenical council
ekumena majstro	Teacher of the Faith
ekumenismo	ecumenicism, ecumenism
ekumenisto	ecumenist
ekuzi	to start to use, start using
ekvacia	equation
ekvaciaro	system of equations
ekvaciigi	to put into an equation
ekvacio	equation
ekvadora	Ecuadorian
ekvadorano	Ecuadorian
Ekvadoro	Ecuador
ekvalizi	equalize
ekvalizilo	equalizer
ekvator-gvineano	Equatoguinean, Equatorial Guinean
Ekvatora Gvineo	Equatorial Guinea
ekvatorialo	equatorial
ekvatoro	equator
ekveli	to set sail
ekventego	gust
ekvento	gust (of wind)
ekvervigxi	to fire
ekveturi	to depart, leave, sail, start
ekveturigi	to begin to take, start to carry
ekvidi	to catch sight of, perceive, spy
ekvidigxi	to suddenly become visible
ekvido	glimpse
ekvigligi	to galvanize
ekvigligxi	to boom
ekvigligxo	boom
ekvilibra	balanced
ekvilibra arbo	balanced tree
ekvilibri	to be in balance, be in equilibrium, poise
ekvilibriga faktoro	balance factor
ekvilibrigi	to balance, stabilize
ekvilibrigo	counterbalance
ekvilibristo	acrobat, equilibrist
ekvilibro	balance, equilibrium
ekvinoksa punkto	equinoctial point
ekvinokso	equinox
ekvipolenta	equipollent
ekviseto	horsetail
ekvivalenta	equivalent
ekvivalenteco	equivalence
ekvivalentklaso	equivalence class, equivalent class
ekvivalento	equivalence, equivalent
ekvivalento-klaso	equivalence class, equivalent class
ekvivalento-operacio	equivalence operation
ekvivalento-rilato	equivalence relation, equivalence relationship
ekvivalentoklaso	equivalence class
ekvivalentorilato	equivalence relation
ekvivalentrilato	equivalence relation
ekvizeto	horsetail
ekvojagxi	to depart, leave, set out
ekvoki	to start to call, begin to call
ekvolo	caprice
ekz-e	ekzemple
ekz-ro	ekzemplero
ekz.	for example, e.g.
ekzakta	exact
ekzakte	exactly
ekzakteco	accuracy, exactitude, precision
ekzakto	accuracy
ekzalti	to exalt
ekzaltita	exalted
ekzalto	exaltation
ekzameni	to examine, inspect, verify, question, scrutinize, survey
ekzameniigxi	to be examined
ekzameno	exam, examination, investigation, review, test
ekzamentablo	examining table
ekzamento	examination
ekzantemo	eruption, exanthema, rash
ekzegeza	exegetical
ekzegezisto	exegete
ekzegezo	exegesis
ekzekucii	to execute
ekzekuciisto	sequestrator
ekzekucio	sequestration
ekzekuti	to execute (criminal)
ekzekutisto	hangman, executioner
ekzekuto	execution
ekzekvaturo	exequatur
ekzekvi	to execute
ekzemo	eczema
ekzempla	exemplary
ekzemple	for example
ekzemplero	copy (of book, etc.), exemplar
ekzempleroj	copies
ekzempli	to be an instance of, exemplify, illustrate
ekzempligi	to exemplify
ekzemplo	copy, example, instance
ekzemplodoni	to instance
ekzercado	practice, exercise, training
ekzercaro	exercise book, practice book, problem book
ekzercejo	range
ekzerci	to exercise, practice, train, drill, rehearse
ekzerci sin	to practice
ekzercigxi	to exercise, practice
ekzercigxo	work-out
ekzercita	experienced, expert, skilful, skilled, skillful, practiced
ekzerciteco	expertness, skill, skillfulness, facility (through practice)
ekzercito	army
ekzerclibro	exercise book
ekzerco	drill, exercise, practice
ekzercokarto	flashcard
ekzercolibro	exercise-book
ekzergo	exergue
ekzibi	to exhibit
ekzilejo	exile
ekzili	to ban, banish, exile
ekziligxi	to exile
ekzilito	exile
ekzilloko	place of exile
ekzilo	exile, outcast
ekzistadismo	existentialism
ekzistado	existence
ekzistajxo	existence
ekzistanta	extant
ekzisteca	existential
ekzistejo	life time
ekzistencialismo	existencialism
ekzisti	to exist
ekzistigi	to bring into existence
ekzistismo	existentialism
ekzisto	existence
ekzistokialo	reason for being, raison d’être
ekzistokvantoro	existential quantifier
ekzistopruvo	proof of existence
ekzistorajto	raison d’être, right to exist
ekzistotialo	reason for being, raison d’être
ekzoftalmio	exophthalmia
ekzogamio	exogamy
ekzokrina	exocrine
ekzorcajxo	exorcism
ekzorci	to exorcise
ekzorcisto	exorcist
ekzorcizi	to exorcise
ekzorcizo	exorcism
ekzorco	exorcism
ekzota	exotic
ekzotajxo	exotic
ekzoterma	exothermic
ekzotika	exotic
ekzotikajxo	exotic
ekzotiko	exoticness
ekzotikulino	exotic
ekzoto	exoticness
el	from, (out) of
el alia perspektivo	from another point of view
el antaux	from in front of
El kie vie estas?	Where are you from?
el malantaux	from behind
el-Aksa-moskeo	Al-Aqsa Mosque
elacxeta	redemptive
elacxeta mono	ransom
elacxeti	to ransom, redeem
Elacxetinto	Redeemer, Savior
elacxeto	redemption
elacxetsumo	ransom, redemption money
elafuro	Père David’s deer
elajosomo	elaiosome
elaktori	to act out
elakvigxi	to surface (from the water)
elamano	Elamite
Elamo	Elam
elano	élan
elartikigi	to disjoint, dislocate, sprain
elartikigo	dislocation
elartikigxi	to become dislocated
elartikigxo	dislocation
elasta	elastic, springy
elastajxo	elastic
elastano	elastane, lycra, spandex
elasteco	elasticity
elaterido	wireworm
elaterio	elaterium
elatro	click beetle
elauxtigxi	to get out, get out of a car
elauxtobusigxi	to alight, get out, debus
elaviadiligxi	to get out
elbabili	to blab, blurt out
elbalai	to sweep out
elbareligi	to decant
elbari	to shut out
elbati	to strike out
elblovi	to blow off, blow out
Elbo	Elba
elboatigxi	to disembark (from a boat)
elbruli	to go out (of a light)
Elbruso	Mount Elbrus
elbufrigi	to flush
elburgxonigxi	to bud, sprout
elbusigxi	to alight, get out, debus
elbusxigi	to pronounce, say
elcenta	percentual
elcentajxo	percentage
elcento	per cent, per centum, percent, percentage
elcentosigno	percent sign
elcentra	eccentric
elcentre	eccentrically
elcxenigi	to unchain
elcxerpa	exhaustive
elcxerpa sercxo	exhaustive search
elcxerpajxo	excerpt
elcxerpe	exhaustively
elcxerpi	to ladle out, scoop out, exhaust, use up, consume
elcxerpigxi	to exhaust
elcxerpita	exhausted, used up, out of print
eld.	eldonis, eldono
eldetrui	to raze, raze to the ground
eldevigado	enforcement
eldevigi	to extort, wrest, wring
eldevigo	exaction, extortion
eldirado	airing, delivery
eldirajxo	saying, statement, pronouncement
eldiri	to articulate, put, state, utter, voice, enunciate
eldiri verdikton	to pronounce a verdict
eldiro	articulation, statement
eldona	release, issuing
eldonaj	release, issuing
eldonaj notoj	release notes
eldonajxo	publication
eldonanto	issuer
eldondato	release date
eldonejo	publisher, publishing house
eldoni	to issue, publish, edit
eldoninto	publisher
eldonis	published, published by
eldonisto	editor, publisher
eldonjaro	release year
eldonkvanto	circulation (number), number of issues
eldono	edition
Eldorado	El Dorado
eleagno	oleaster
elefanta	elephant, elephant’s, elephantine, of an elephant
elefantaro	a herd of elephants
elefantiazo	elephantiasis
elefantido	baby elephant
elefanto	elephant
elefantosto	ivory
eleganta	elegant, smart
eleganta klarkio	elegant clarkia, woodland clarkia
elegantaj manieroj	good manners
elegante	elegantly, smartly
eleganteco	elegance
elegantulo	elegant person
elegia	elegaic
elegio	elegy
elejo	egress, exit, outlet, way out
elektada	electoral
elektado	election
elektajxo	choice
elektanto	elector
elektaro	selection
elektebla	eligible
elekteblaro	option group
elektebleco	eligibility
elekteblo	option
elekteblo-butono	option button
